meta_feature,gain_importance
adx_14,152.6
btc_vol_14d,142.0
basis_zscore_30,136.4
parkinson_gk_ratio_20,133.4
funding_rate_zscore_30,111.4
volume_cv_50,105.4
vol_transition_slope_20,103.8
obv_slope_50,97.8
range_efficiency_50,75.0
cross_asset_divergence_norm,74.0
atr_pct_rank_200,70.4
bb_width_pct_rank_100,67.8
hurst_200,66.0
funding_sign_persist_9,52.8
taker_buy_imbalance_20,44.8
vol_regime_x_momentum,33.2
candle_dow_sin,29.4
candle_dow_cos,27.6
