meta_feature,primary_feature,abs_rho
hurst_200,max_dd_window_50,0.155
hurst_200,ema_spread_atr_20,0.0702
hurst_200,ret_kurt_50,0.0627
hurst_200,ret_skew_200,0.0206
hurst_200,range_realized_vol_50,0.0324
hurst_200,hurst_diff_100_50,0.1312
hurst_200,ret_kurt_200,0.0002
hurst_200,hurst_100,0.4056
hurst_200,btc_ret_14d,0.0981
hurst_200,ret_skew_50,0.0304
hurst_200,vwap_dev_20,0.035
hurst_200,ret_autocorr_lag1_50,0.0328
hurst_200,sym_vs_btc_ret_7d,0.0306
hurst_200,regime_momentum_signed_5d,0.0521
adx_14,max_dd_window_50,0.0293
adx_14,ema_spread_atr_20,0.0171
adx_14,ret_kurt_50,0.0965
adx_14,ret_skew_200,0.0632
adx_14,range_realized_vol_50,0.1573
adx_14,hurst_diff_100_50,0.008
adx_14,ret_kurt_200,0.0008
adx_14,hurst_100,0.0829
adx_14,btc_ret_14d,0.0788
adx_14,ret_skew_50,0.0325
adx_14,vwap_dev_20,0.0457
adx_14,ret_autocorr_lag1_50,0.0069
adx_14,sym_vs_btc_ret_7d,0.1136
adx_14,regime_momentum_signed_5d,0.0321
btc_vol_14d,max_dd_window_50,0.5404
btc_vol_14d,ema_spread_atr_20,0.1808
btc_vol_14d,ret_kurt_50,0.0207
btc_vol_14d,ret_skew_200,0.1986
btc_vol_14d,range_realized_vol_50,0.5547
btc_vol_14d,hurst_diff_100_50,0.0198
btc_vol_14d,ret_kurt_200,0.0387
btc_vol_14d,hurst_100,0.0347
btc_vol_14d,btc_ret_14d,0.183
btc_vol_14d,ret_skew_50,0.216
btc_vol_14d,vwap_dev_20,0.027
btc_vol_14d,ret_autocorr_lag1_50,0.1258
btc_vol_14d,sym_vs_btc_ret_7d,0.0595
btc_vol_14d,regime_momentum_signed_5d,0.0752
cross_asset_divergence_norm,max_dd_window_50,0.0331
cross_asset_divergence_norm,ema_spread_atr_20,0.0104
cross_asset_divergence_norm,ret_kurt_50,0.0151
cross_asset_divergence_norm,ret_skew_200,0.0065
cross_asset_divergence_norm,range_realized_vol_50,0.035
cross_asset_divergence_norm,hurst_diff_100_50,0.0094
cross_asset_divergence_norm,ret_kurt_200,0.0118
cross_asset_divergence_norm,hurst_100,0.0042
cross_asset_divergence_norm,btc_ret_14d,0.1155
cross_asset_divergence_norm,ret_skew_50,0.0254
cross_asset_divergence_norm,vwap_dev_20,0.0086
cross_asset_divergence_norm,ret_autocorr_lag1_50,0.0259
cross_asset_divergence_norm,sym_vs_btc_ret_7d,0.0808
cross_asset_divergence_norm,regime_momentum_signed_5d,0.0242
vol_regime_x_momentum,max_dd_window_50,0.1318
vol_regime_x_momentum,ema_spread_atr_20,0.2729
vol_regime_x_momentum,ret_kurt_50,0.016
vol_regime_x_momentum,ret_skew_200,0.1524
vol_regime_x_momentum,range_realized_vol_50,0.0075
vol_regime_x_momentum,hurst_diff_100_50,0.0103
vol_regime_x_momentum,ret_kurt_200,0.0223
vol_regime_x_momentum,hurst_100,0.0268
vol_regime_x_momentum,btc_ret_14d,0.2226
vol_regime_x_momentum,ret_skew_50,0.2311
vol_regime_x_momentum,vwap_dev_20,0.2515
vol_regime_x_momentum,ret_autocorr_lag1_50,0.0141
vol_regime_x_momentum,sym_vs_btc_ret_7d,0.4463
vol_regime_x_momentum,regime_momentum_signed_5d,0.563
vol_transition_slope_20,max_dd_window_50,0.0956
vol_transition_slope_20,ema_spread_atr_20,0.0973
vol_transition_slope_20,ret_kurt_50,0.1005
vol_transition_slope_20,ret_skew_200,0.0259
vol_transition_slope_20,range_realized_vol_50,0.0249
vol_transition_slope_20,hurst_diff_100_50,0.077
vol_transition_slope_20,ret_kurt_200,0.0258
vol_transition_slope_20,hurst_100,0.0215
vol_transition_slope_20,btc_ret_14d,0.0198
vol_transition_slope_20,ret_skew_50,0.0549
vol_transition_slope_20,vwap_dev_20,0.0001
vol_transition_slope_20,ret_autocorr_lag1_50,0.0195
vol_transition_slope_20,sym_vs_btc_ret_7d,0.1566
vol_transition_slope_20,regime_momentum_signed_5d,0.0037
atr_pct_rank_200,max_dd_window_50,0.1121
atr_pct_rank_200,ema_spread_atr_20,0.3887
atr_pct_rank_200,ret_kurt_50,0.1472
atr_pct_rank_200,ret_skew_200,0.2108
atr_pct_rank_200,range_realized_vol_50,0.3446
atr_pct_rank_200,hurst_diff_100_50,0.0077
atr_pct_rank_200,ret_kurt_200,0.02
atr_pct_rank_200,hurst_100,0.0719
atr_pct_rank_200,btc_ret_14d,0.1308
atr_pct_rank_200,ret_skew_50,0.1814
atr_pct_rank_200,vwap_dev_20,0.0601
atr_pct_rank_200,ret_autocorr_lag1_50,0.0807
atr_pct_rank_200,sym_vs_btc_ret_7d,0.1991
atr_pct_rank_200,regime_momentum_signed_5d,0.1122
bb_width_pct_rank_100,max_dd_window_50,0.0659
bb_width_pct_rank_100,ema_spread_atr_20,0.1305
bb_width_pct_rank_100,ret_kurt_50,0.1503
bb_width_pct_rank_100,ret_skew_200,0.0499
bb_width_pct_rank_100,range_realized_vol_50,0.0936
bb_width_pct_rank_100,hurst_diff_100_50,0.0563
bb_width_pct_rank_100,ret_kurt_200,0.0193
bb_width_pct_rank_100,hurst_100,0.0235
bb_width_pct_rank_100,btc_ret_14d,0.05
bb_width_pct_rank_100,ret_skew_50,0.0536
bb_width_pct_rank_100,vwap_dev_20,0.0367
bb_width_pct_rank_100,ret_autocorr_lag1_50,0.1159
bb_width_pct_rank_100,sym_vs_btc_ret_7d,0.158
bb_width_pct_rank_100,regime_momentum_signed_5d,0.0334
parkinson_gk_ratio_20,max_dd_window_50,0.0059
parkinson_gk_ratio_20,ema_spread_atr_20,0.0523
parkinson_gk_ratio_20,ret_kurt_50,0.1183
parkinson_gk_ratio_20,ret_skew_200,0.0434
parkinson_gk_ratio_20,range_realized_vol_50,0.1011
parkinson_gk_ratio_20,hurst_diff_100_50,0.0055
parkinson_gk_ratio_20,ret_kurt_200,0.0611
parkinson_gk_ratio_20,hurst_100,0.0189
parkinson_gk_ratio_20,btc_ret_14d,0.0343
parkinson_gk_ratio_20,ret_skew_50,0.0822
parkinson_gk_ratio_20,vwap_dev_20,0.0531
parkinson_gk_ratio_20,ret_autocorr_lag1_50,0.0119
parkinson_gk_ratio_20,sym_vs_btc_ret_7d,0.1362
parkinson_gk_ratio_20,regime_momentum_signed_5d,0.0968
volume_cv_50,max_dd_window_50,0.0152
volume_cv_50,ema_spread_atr_20,0.1136
volume_cv_50,ret_kurt_50,0.5709
volume_cv_50,ret_skew_200,0.137
volume_cv_50,range_realized_vol_50,0.174
volume_cv_50,hurst_diff_100_50,0.0175
volume_cv_50,ret_kurt_200,0.1776
volume_cv_50,hurst_100,0.0696
volume_cv_50,btc_ret_14d,0.0405
volume_cv_50,ret_skew_50,0.2276
volume_cv_50,vwap_dev_20,0.0403
volume_cv_50,ret_autocorr_lag1_50,0.0681
volume_cv_50,sym_vs_btc_ret_7d,0.1887
volume_cv_50,regime_momentum_signed_5d,0.1378
range_efficiency_50,max_dd_window_50,0.025
range_efficiency_50,ema_spread_atr_20,0.1761
range_efficiency_50,ret_kurt_50,0.0589
range_efficiency_50,ret_skew_200,0.0836
range_efficiency_50,range_realized_vol_50,0.1163
range_efficiency_50,hurst_diff_100_50,0.0374
range_efficiency_50,ret_kurt_200,0.0354
range_efficiency_50,hurst_100,0.0875
range_efficiency_50,btc_ret_14d,0.0025
range_efficiency_50,ret_skew_50,0.0559
range_efficiency_50,vwap_dev_20,0.1524
range_efficiency_50,ret_autocorr_lag1_50,0.0869
range_efficiency_50,sym_vs_btc_ret_7d,0.2157
range_efficiency_50,regime_momentum_signed_5d,0.1521
taker_buy_imbalance_20,max_dd_window_50,0.0369
taker_buy_imbalance_20,ema_spread_atr_20,0.0028
taker_buy_imbalance_20,ret_kurt_50,0.0605
taker_buy_imbalance_20,ret_skew_200,0.0145
taker_buy_imbalance_20,range_realized_vol_50,0.1873
taker_buy_imbalance_20,hurst_diff_100_50,0.0201
taker_buy_imbalance_20,ret_kurt_200,0.0991
