meta_feature,max_abs_rho_vs_primary,most_correlated_primary
volume_cv_50,0.5709,ret_kurt_50
vol_regime_x_momentum,0.563,regime_momentum_signed_5d
btc_vol_14d,0.5547,range_realized_vol_50
hurst_200,0.4056,hurst_100
atr_pct_rank_200,0.3887,ema_spread_atr_20
obv_slope_50,0.344,ema_spread_atr_20
funding_rate_zscore_30,0.287,vwap_dev_20
basis_zscore_30,0.2689,vwap_dev_20
taker_buy_imbalance_20,0.2552,btc_ret_14d
funding_sign_persist_9,0.2182,btc_ret_14d
range_efficiency_50,0.2157,sym_vs_btc_ret_7d
bb_width_pct_rank_100,0.158,sym_vs_btc_ret_7d
adx_14,0.1573,range_realized_vol_50
vol_transition_slope_20,0.1566,sym_vs_btc_ret_7d
parkinson_gk_ratio_20,0.1362,sym_vs_btc_ret_7d
cross_asset_divergence_norm,0.1155,btc_ret_14d
candle_dow_cos,0.0616,hurst_diff_100_50
candle_dow_sin,0.0302,vwap_dev_20
