m2_threshold,n_kept,n_total,frac_kept,wr_kept,wr_base,wr_lift
0.4,24,52,0.462,0.4583,0.4615,-0.0032
0.45,23,52,0.442,0.4783,0.4615,0.0167
0.5,21,52,0.404,0.5238,0.4615,0.0623
0.55,20,52,0.385,0.55,0.4615,0.0885
0.6,15,52,0.288,0.6,0.4615,0.1385
