meta_feature,in_V3_FEATURE_COLUMNS
hurst_200,False
adx_14,False
btc_vol_14d,False
cross_asset_divergence_norm,False
vol_regime_x_momentum,False
vol_transition_slope_20,False
atr_pct_rank_200,False
bb_width_pct_rank_100,False
parkinson_gk_ratio_20,False
volume_cv_50,False
range_efficiency_50,False
taker_buy_imbalance_20,False
obv_slope_50,False
funding_rate_zscore_30,False
funding_sign_persist_9,False
basis_zscore_30,False
candle_dow_sin,False
candle_dow_cos,False
