symbol,n_obs,n_long_pos,n_long_neg,n_long_timeout,n_short_pos,n_short_neg,n_short_timeout,n_label_pos,n_label_neg,n_label_zero,avg_bars_to_long_tp,avg_bars_to_long_sl,avg_bars_to_short_tp,avg_bars_to_short_sl,avg_natr,label_balance_ratio,long_tp_hit_rate,long_sl_hit_rate,long_timeout_rate,short_tp_hit_rate,mean_close_usd,mean_natr_pct,effective_tp_pct,effective_sl_pct
BCHUSDT,1888,696,1181,11,662,1192,34,929,958,1,3.896551724137931,3.258255715495343,4.2975830815709966,3.210570469798658,4.200653488744305,0.9697286012526096,0.3686440677966102,0.6255296610169492,0.005826271186440678,0.350635593220339,331.52422210581454,4.20799257015257,8.41598514030514,4.20799257015257
LDOUSDT,893,275,613,5,342,547,4,387,506,0,3.192727272727273,2.898858075040783,4.543859649122807,2.7239488117001827,5.315511763354528,0.7648221343873518,0.3079507278835386,0.6864501679731243,0.005599104143337066,0.3829787234042553,1.9107917943107218,5.358738109914057,10.717476219828114,5.358738109914057
TRXUSDT,1869,790,1064,15,546,1312,11,1121,748,0,4.315189873417721,2.8543233082706765,3.6575091575091574,3.002286585365854,3.2857731264735643,0.6672613737734165,0.42268592830390583,0.5692883895131086,0.008025682182985553,0.29213483146067415,0.08560896296296297,3.276707288588119,6.553414577176238,3.276707288588119
