path_label,tp_mult,sl_mult,timeout_bars,symbol,n_obs,n_label_pos,n_label_neg,n_label_zero,label_balance_ratio,long_tp_hit_rate,long_sl_hit_rate,long_timeout_rate,avg_bars_to_long_tp,avg_bars_to_long_sl
default_2.0_1.0_21bars,2.0,1.0,21,BCHUSDT,1888,929,958,1,0.9697286012526096,0.3686440677966102,0.6255296610169492,0.005826271186440678,3.896551724137931,3.258255715495343
default_2.0_1.0_21bars,2.0,1.0,21,LDOUSDT,893,387,506,0,0.7648221343873518,0.3079507278835386,0.6864501679731243,0.005599104143337066,3.192727272727273,2.898858075040783
default_2.0_1.0_21bars,2.0,1.0,21,TRXUSDT,1869,1121,748,0,0.6672613737734165,0.42268592830390583,0.5692883895131086,0.008025682182985553,4.315189873417721,2.8543233082706765
PathA_tp1.5_sl1.0_21bars,1.5,1.0,21,BCHUSDT,1888,933,954,1,0.9779874213836478,0.4279661016949153,0.5699152542372882,0.00211864406779661,3.133663366336634,2.83271375464684
PathA_tp1.5_sl1.0_21bars,1.5,1.0,21,LDOUSDT,893,391,502,0,0.7788844621513944,0.3617021276595745,0.6360582306830908,0.0022396416573348264,2.455108359133127,2.6443661971830985
PathA_tp1.5_sl1.0_21bars,1.5,1.0,21,TRXUSDT,1869,1074,795,0,0.7402234636871509,0.4740502942750134,0.5238095238095238,0.002140181915462814,3.2234762979683973,2.578140960163432
PathA_tp2.5_sl1.0_21bars,2.5,1.0,21,BCHUSDT,1888,919,968,1,0.9493801652892562,0.3230932203389831,0.666843220338983,0.010063559322033898,4.49672131147541,3.5774424146147736
PathA_tp2.5_sl1.0_21bars,2.5,1.0,21,LDOUSDT,893,402,491,0,0.8187372708757638,0.26651735722284436,0.7245240761478163,0.008958566629339306,3.9495798319327733,3.1190108191653785
PathA_tp2.5_sl1.0_21bars,2.5,1.0,21,TRXUSDT,1869,1137,732,0,0.6437994722955145,0.3750668806848582,0.6046013911182451,0.020331728196896735,5.176890156918687,3.1707964601769913
PathB_tp2.0_sl0.75_21bars,2.0,0.75,21,BCHUSDT,1888,918,969,1,0.9473684210526315,0.3130296610169492,0.683792372881356,0.0031779661016949155,3.490693739424704,2.581719597211464
PathB_tp2.0_sl0.75_21bars,2.0,0.75,21,LDOUSDT,893,381,512,0,0.744140625,0.2721164613661814,0.7245240761478163,0.0033594624860022394,2.876543209876543,2.357032457496136
PathB_tp2.0_sl0.75_21bars,2.0,0.75,21,TRXUSDT,1869,1113,756,0,0.6792452830188679,0.36704119850187267,0.628143392188336,0.004815409309791332,3.944606413994169,2.3424190800681433
PathD_tp2.0_sl1.5_21bars,2.0,1.5,21,BCHUSDT,1888,921,967,0,0.9524301964839711,0.4279661016949153,0.5524364406779662,0.019597457627118644,4.47029702970297,4.426653883029722
PathD_tp2.0_sl1.5_21bars,2.0,1.5,21,LDOUSDT,893,407,486,0,0.8374485596707819,0.39417693169092943,0.5901455767077267,0.015677491601343786,3.809659090909091,4.225806451612903
PathD_tp2.0_sl1.5_21bars,2.0,1.5,21,TRXUSDT,1869,1111,758,0,0.6822682268226823,0.5098983413590155,0.4724451578384163,0.01765650080256822,4.938090241343127,3.696489241223103
PathC_tp2.0_sl1.0_7bars,2.0,1.0,7,BCHUSDT,1902,956,945,1,0.9884937238493724,0.323869610935857,0.5672975814931651,0.10883280757097792,2.982142857142857,2.4059314179796107
PathC_tp2.0_sl1.0_7bars,2.0,1.0,7,LDOUSDT,907,427,480,0,0.8895833333333333,0.2866593164277839,0.6471885336273429,0.06615214994487321,2.707692307692308,2.4293015332197614
PathC_tp2.0_sl1.0_7bars,2.0,1.0,7,TRXUSDT,1883,1073,806,4,0.7511649580615097,0.35687732342007433,0.534784917684546,0.10833775889537971,2.9389880952380953,2.3038728897715988
PathC_tp2.0_sl1.0_42bars,2.0,1.0,42,BCHUSDT,1867,940,927,0,0.9861702127659574,0.3738618103910016,0.6261381896089984,0.0,4.021489971346705,3.395209580838323
PathC_tp2.0_sl1.0_42bars,2.0,1.0,42,LDOUSDT,872,401,471,0,0.851380042462845,0.3130733944954128,0.6869266055045872,0.0,3.197802197802198,3.0734557595993324
PathC_tp2.0_sl1.0_42bars,2.0,1.0,42,TRXUSDT,1848,1127,720,1,0.6388642413487134,0.4296536796536797,0.5703463203463204,0.0,4.634760705289673,2.9705882352941178
