symbol,long_tp_hit_rate,long_sl_hit_rate,long_timeout_rate,label_balance_ratio,n_label_pos,n_label_neg,n_label_zero,avg_bars_to_long_tp,avg_bars_to_long_sl,tp_sl_hit_ratio
BCHUSDT,0.3686440677966102,0.6255296610169492,0.005826271186440678,0.9697286012526096,929,958,1,3.896551724137931,3.258255715495343,0.5893310753598645
LDOUSDT,0.3079507278835386,0.6864501679731243,0.005599104143337066,0.7648221343873518,387,506,0,3.192727272727273,2.898858075040783,0.4486133768352365
TRXUSDT,0.42268592830390583,0.5692883895131086,0.008025682182985553,0.6672613737734165,1121,748,0,4.315189873417721,2.8543233082706765,0.7424812030075189
