symbol,fwd_horizon_bars,rank_ic,abs_rank_ic,n
BCHUSDT,1,-0.002607,0.002607,2192
BCHUSDT,3,-0.01207,0.01207,2188
BCHUSDT,7,-0.021009,0.021009,2180
LDOUSDT,1,-0.01283,0.01283,2192
LDOUSDT,3,-0.047367,0.047367,2188
LDOUSDT,7,-0.044142,0.044142,2180
TRXUSDT,1,-0.010806,0.010806,2192
TRXUSDT,3,-0.030296,0.030296,2188
TRXUSDT,7,-0.005255,0.005255,2180
