symbol,n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,skew,kurtosis
BCHUSDT,2193,-0.000986,1.435486,-10.0,-3.982808,-1.801541,-0.619865,0.0,0.670588,1.688492,3.496827,10.0,-0.792725,15.936392
LDOUSDT,2193,-0.000986,1.435486,-10.0,-3.982808,-1.801541,-0.619865,0.0,0.670588,1.688492,3.496827,10.0,-0.792725,15.936392
TRXUSDT,2193,-0.000986,1.435486,-10.0,-3.982808,-1.801541,-0.619865,0.0,0.670588,1.688492,3.496827,10.0,-0.792725,15.936392
