symbol,candidate,against,ic_spearman,n_pairs
BCHUSDT,funding_rate_zscore_30,max_dd_window_50,0.0892,2193
BCHUSDT,funding_rate_zscore_30,ema_spread_atr_20,0.127,2193
BCHUSDT,funding_rate_zscore_30,ret_kurt_50,-0.0495,2193
BCHUSDT,funding_rate_zscore_30,ret_skew_200,0.0316,2193
BCHUSDT,funding_rate_zscore_30,range_realized_vol_50,-0.1252,2193
BCHUSDT,funding_rate_zscore_30,hurst_diff_100_50,0.0263,2193
BCHUSDT,funding_rate_zscore_30,ret_kurt_200,-0.0652,2193
BCHUSDT,funding_rate_zscore_30,hurst_100,-0.0315,2193
BCHUSDT,funding_rate_zscore_30,btc_ret_14d,0.0606,2193
BCHUSDT,funding_rate_zscore_30,ret_skew_50,0.0691,2193
BCHUSDT,funding_rate_zscore_30,vwap_dev_20,0.2192,2193
BCHUSDT,funding_rate_zscore_30,ret_autocorr_lag1_50,-0.0339,2193
BCHUSDT,funding_rate_zscore_30,sym_vs_btc_ret_7d,0.1319,2193
LDOUSDT,funding_rate_zscore_30,max_dd_window_50,0.0234,2193
LDOUSDT,funding_rate_zscore_30,ema_spread_atr_20,0.1922,2193
LDOUSDT,funding_rate_zscore_30,ret_kurt_50,0.0012,2193
LDOUSDT,funding_rate_zscore_30,ret_skew_200,-0.0191,2193
LDOUSDT,funding_rate_zscore_30,range_realized_vol_50,-0.1348,2193
LDOUSDT,funding_rate_zscore_30,hurst_diff_100_50,-0.0921,2193
LDOUSDT,funding_rate_zscore_30,ret_kurt_200,0.0257,2193
LDOUSDT,funding_rate_zscore_30,hurst_100,-0.0476,2193
LDOUSDT,funding_rate_zscore_30,btc_ret_14d,0.1459,2193
LDOUSDT,funding_rate_zscore_30,ret_skew_50,0.0263,2193
LDOUSDT,funding_rate_zscore_30,vwap_dev_20,0.2417,2193
LDOUSDT,funding_rate_zscore_30,ret_autocorr_lag1_50,0.1223,2193
LDOUSDT,funding_rate_zscore_30,sym_vs_btc_ret_7d,0.1561,2193
TRXUSDT,funding_rate_zscore_30,max_dd_window_50,-0.0089,2193
TRXUSDT,funding_rate_zscore_30,ema_spread_atr_20,0.1245,2193
TRXUSDT,funding_rate_zscore_30,ret_kurt_50,-0.0505,2193
TRXUSDT,funding_rate_zscore_30,ret_skew_200,-0.0311,2193
TRXUSDT,funding_rate_zscore_30,range_realized_vol_50,-0.0366,2193
TRXUSDT,funding_rate_zscore_30,hurst_diff_100_50,-0.0082,2193
TRXUSDT,funding_rate_zscore_30,ret_kurt_200,-0.0012,2193
TRXUSDT,funding_rate_zscore_30,hurst_100,-0.006,2193
TRXUSDT,funding_rate_zscore_30,btc_ret_14d,0.063,2193
TRXUSDT,funding_rate_zscore_30,ret_skew_50,0.0151,2193
TRXUSDT,funding_rate_zscore_30,vwap_dev_20,0.3758,2193
TRXUSDT,funding_rate_zscore_30,ret_autocorr_lag1_50,0.0983,2193
TRXUSDT,funding_rate_zscore_30,sym_vs_btc_ret_7d,0.0922,2193
