symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,mean_path_sharpe,error
MKRUSDT,2023-11,50,1810,45,50,0.0472,23,0.095884,
MKRUSDT,2023-12,50,1810,45,50,0.002,26,-0.002455,
MKRUSDT,2024-01,50,1810,45,50,0.0202,21,0.048341,
MKRUSDT,2024-02,50,1810,45,50,0.0298,28,0.022048,
MKRUSDT,2024-03,50,1820,45,50,0.0042,28,0.003846,
MKRUSDT,2024-04,50,1820,45,50,0.0006,27,-0.019593,
MKRUSDT,2024-05,50,1825,45,50,0.0032,25,-0.027542,
MKRUSDT,2024-06,50,1825,45,50,0.0386,28,-0.038408,
MKRUSDT,2024-07,50,1825,45,50,0.0062,27,-0.008607,
MKRUSDT,2024-08,50,1825,45,46,0.0066,25,-0.09746,
MKRUSDT,2024-09,50,1825,45,50,0.0,27,-0.072082,
MKRUSDT,2024-10,50,1825,45,50,0.0732,27,-0.042461,
MKRUSDT,2024-11,50,1825,45,38,0.0004,21,-0.042621,
MKRUSDT,2024-12,50,1825,45,46,0.0,24,-0.125613,
MKRUSDT,2025-01,50,1825,45,43,0.0,23,-0.029568,
MKRUSDT,2025-02,50,1825,45,50,0.0144,29,-0.049622,
MKRUSDT,2025-03,50,1825,45,37,0.0004,21,-0.010576,
MKRUSDT,2025-04,50,1801,45,49,0.0428,26,-0.029124,
MKRUSDT,2025-05,50,1711,45,50,0.0036,26,-0.065576,
MKRUSDT,2025-06,50,1618,45,50,0.0566,27,-0.029467,
MKRUSDT,2025-07,50,1528,45,43,0.0002,24,-0.005469,
MKRUSDT,2025-08,50,1435,45,50,0.207,26,-0.110312,
MKRUSDT,2025-09,50,1342,45,46,0.0,25,-0.039908,
MKRUSDT,2025-10,50,1252,45,50,0.0284,26,-0.047377,
MKRUSDT,2025-11,50,1159,45,46,0.0006,23,-0.009969,
MKRUSDT,2025-12,50,1069,45,50,0.0018,22,-0.072581,
MKRUSDT,2026-01,50,976,45,45,0.0004,22,0.025171,
MKRUSDT,2026-02,50,883,45,50,0.035,25,0.028289,
MKRUSDT,2026-03,50,799,45,47,0.0008,23,0.069948,
MKRUSDT,2026-04,50,706,45,50,0.0,26,-0.039132,
MKRUSDT,2026-05,50,616,45,50,0.0348,20,-0.012441,
TRXUSDT,2022-01,50,1790,45,50,0.0032,26,-0.004183,
TRXUSDT,2022-02,50,1825,45,50,0.0158,28,0.034592,
TRXUSDT,2022-03,50,1815,45,50,0.0022,27,0.030027,
TRXUSDT,2022-04,50,1815,45,50,0.0276,26,0.035947,
TRXUSDT,2022-05,50,1810,45,50,0.109,24,0.031644,
TRXUSDT,2022-06,50,1810,45,50,0.0044,24,0.059237,
TRXUSDT,2022-07,50,1810,45,48,0.0054,26,0.058061,
TRXUSDT,2022-08,50,1810,45,50,0.0158,22,0.020225,
TRXUSDT,2022-09,50,1810,45,50,0.0392,26,-0.009307,
TRXUSDT,2022-10,50,1810,45,49,0.0134,22,0.015668,
TRXUSDT,2022-11,50,1810,45,50,0.0126,29,-0.028076,
TRXUSDT,2022-12,50,1810,45,50,0.0036,26,-0.005043,
TRXUSDT,2023-01,50,1810,45,48,0.0198,25,0.036782,
TRXUSDT,2023-02,50,1810,45,50,0.0,25,0.063602,
