family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,-0.008029,-0.008027,-0.015317,-0.000738,2,2
calendar,interaction,0.000996,0.000996,nan,nan,2,6
calendar,mean_reversion,-0.000096,-0.000096,nan,nan,2,26
calendar,momentum,0.023007,0.023007,nan,nan,2,36
calendar,statistical,-0.004623,-0.004623,nan,nan,2,24
calendar,trend,0.004225,0.004225,nan,nan,2,39
calendar,volatility,0.004192,0.004192,nan,nan,2,40
calendar,volume,-0.001418,-0.001418,nan,nan,2,20
interaction,interaction,-0.012308,-0.017720,-0.020360,-0.006852,6,6
interaction,mean_reversion,0.147990,0.147990,nan,nan,6,26
interaction,momentum,0.143887,0.143887,nan,nan,6,36
interaction,statistical,0.058600,0.058600,nan,nan,6,24
interaction,trend,0.188258,0.188258,nan,nan,6,39
interaction,volatility,0.811400,0.811400,nan,nan,6,40
interaction,volume,0.118558,0.118558,nan,nan,6,20
mean_reversion,mean_reversion,-0.008054,-0.009854,-0.014752,-0.002255,26,26
mean_reversion,momentum,0.386494,0.386494,nan,nan,26,36
mean_reversion,statistical,0.116251,0.116251,nan,nan,26,24
mean_reversion,trend,0.167860,0.167860,nan,nan,26,39
mean_reversion,volatility,0.092724,0.092724,nan,nan,26,40
mean_reversion,volume,0.270128,0.270128,nan,nan,26,20
momentum,momentum,-0.013206,-0.016242,-0.021144,-0.003605,36,36
momentum,statistical,0.091579,0.091579,nan,nan,36,24
momentum,trend,0.678569,0.678569,nan,nan,36,39
momentum,volatility,0.039282,0.039282,nan,nan,36,40
momentum,volume,0.729865,0.729865,nan,nan,36,20
statistical,statistical,-0.020169,-0.030234,-0.038050,0.005147,24,24
statistical,trend,0.091303,0.091303,nan,nan,24,39
statistical,volatility,0.100680,0.100680,nan,nan,24,40
statistical,volume,0.063043,0.063043,nan,nan,24,20
trend,trend,0.006860,0.004275,-0.003109,0.018861,39,39
trend,volatility,0.150595,0.150595,nan,nan,39,40
trend,volume,0.686414,0.686414,nan,nan,39,20
volatility,volatility,0.008018,0.012524,-0.002864,0.020338,40,40
volatility,volume,0.078745,0.078745,nan,nan,40,20
volume,volume,0.009359,0.007499,-0.010207,0.027060,20,20
