observation_idx,open_time_ms,signed_weight_std
0,1640995200000,53.85164807134504
1,1641024000000,53.85164807134504
2,1641052800000,58.957611891934704
3,1641081600000,50.438080851673966
4,1641139200000,36.66060555964672
5,1641168000000,39.191835884530846
6,1641254400000,46.647615158762406
7,1641283200000,34.698703145794944
8,1641312000000,49.35585071701227
9,1641340800000,38.41874542459709
10,1641369600000,40.049968789001575
11,1641484800000,42.37924020083418
12,1641571200000,41.7612260356422
13,1641600000000,41.23105625617661
14,1641628800000,44.721359549995796
15,1641657600000,48.0
16,1641686400000,47.15930449020638
17,1641715200000,41.23105625617661
18,1641744000000,42.0
19,1641772800000,42.0
20,1641830400000,50.0
21,1641859200000,49.95998398718719
22,1641888000000,44.0
23,1641916800000,49.63869458396343
24,1641945600000,44.8998886412873
25,1642003200000,50.0
26,1642032000000,55.46169849544819
27,1642060800000,56.568542494923804
28,1642089600000,42.0
29,1642118400000,49.03060268852505
30,1642147200000,33.704599092705436
31,1642176000000,33.704599092705436
32,1642204800000,49.03060268852505
33,1642233600000,52.952809179494906
34,1642262400000,46.51881339845203
35,1642291200000,50.0
36,1642320000000,44.54211490264017
37,1642406400000,38.41874542459709
38,1642435200000,38.41874542459709
39,1642464000000,36.66060555964672
40,1642492800000,38.41874542459709
41,1642521600000,38.41874542459709
42,1642550400000,52.91502622129181
43,1642579200000,53.81449618829484
44,1642608000000,48.2078831727758
45,1642636800000,48.2078831727758
46,1642665600000,45.8257569495584
47,1642694400000,47.37087712930804
48,1642723200000,36.66060555964672
49,1642953600000,46.647615158762406
50,1643040000000,44.8998886412873
51,1643068800000,43.31281565541543
52,1643097600000,51.536394906900505
53,1643126400000,44.76605857119878
54,1643155200000,53.0659966456864
55,1643184000000,69.31089380465383
56,1643212800000,58.787753826796276
57,1643241600000,58.51495535331117
58,1643270400000,67.08203932499369
59,1643299200000,47.49736834815167
60,1643328000000,56.88585061331157
61,1643356800000,68.81860213634101
62,1643385600000,57.41080037762929
63,1643472000000,48.98979485566356
64,1643500800000,28.0
65,1643529600000,27.129319932501073
66,1643558400000,42.0
67,1643587200000,53.0659966456864
68,1643616000000,27.129319932501073
69,1643644800000,30.0
70,1643673600000,55.46169849544819
71,1643702400000,57.584720195551874
72,1643731200000,72.77362159464101
73,1643760000000,75.25955088890711
74,1643788800000,75.25955088890711
75,1643817600000,66.4529909033446
76,1643875200000,70.54076835419359
77,1643904000000,71.442284397967
78,1643932800000,57.584720195551874
79,1643961600000,72.36021006050217
80,1643990400000,72.77362159464101
81,1645200000000,87.65842800324451
82,1645228800000,87.65842800324451
83,1645257600000,87.17797887081348
84,1645286400000,87.65842800324451
85,1645315200000,87.54427451295716
86,1645344000000,87.65842800324451
