component_id,iter_label,symbol,is_sha256,oos_sha256
C-BTC,iteration_v1-025,BTCUSDT,4b6a096409cea187355e984f64bf36c1652b37199900f7a2c634946451fc91dd,209a4936bd39834ea334ef1af6a83c35933430aa188c4ee8c356df4b96c5d932
C-ETH,iteration_v1-009,ETHUSDT,c22dd09da94ba64b652fdb8b31b11952f809126274a8a36b7a711fa8cc164477,7e10f877c15eaf3e4871773b7bd2291d208019eadacc9212689afee26364b4df
C-LINK,iteration_v1-025,LINKUSDT,4b6a096409cea187355e984f64bf36c1652b37199900f7a2c634946451fc91dd,209a4936bd39834ea334ef1af6a83c35933430aa188c4ee8c356df4b96c5d932
C-LTC,iteration_v1-025,LTCUSDT,4b6a096409cea187355e984f64bf36c1652b37199900f7a2c634946451fc91dd,209a4936bd39834ea334ef1af6a83c35933430aa188c4ee8c356df4b96c5d932
C-DOT,iteration_v1-031,DOTUSDT,c7c314366617075f24806b39498a7b7c75796387da6cc011628224a450782603,20a31caf17b9a1297ab9009e13adc1336e42a9f6dbb4df7b8c87cea215c7d27f
