regime,n_months,total_wpnl_pct,mean_monthly_pnl_pct,monthly_sharpe,pct_positive_months,n_trades,win_rate_pct
IS_bear_chop,19,-6.8733,-0.3618,-0.2193,26.3,77,26.0
IS_bull,15,58.764,3.9176,1.8504,53.3,82,36.6
OOS_uptrend,14,5.4988,0.3928,0.1403,50.0,102,39.2
