split,baseline_roster_n,baseline_mean_dur_candles,baseline_median_dur_candles,predicted_mean_dur_delta,falsifier_mean_dur_delta
IS,159,6.3145,4.0,0.0,1.0
OOS,102,6.4608,4.5,0.0,1.0
