symbol,baseline_n_trades,baseline_trades_per_month,baseline_pct_take_profit,baseline_pct_stop_loss,baseline_pct_timeout,expected_frequency_mult,expected_n_trades_iter_v3_010,expected_trades_per_month
BCHUSDT,84,2.806531284302964,0.20238095238095238,0.5357142857142857,0.2619047619047619,1.45,122,4.069470362239298
LDOUSDT,23,0.7684549945115258,0.2608695652173913,0.6086956521739131,0.13043478260869565,1.45,33,1.1142597420417124
MKRUSDT,71,2.3721871569703623,0.22535211267605634,0.6056338028169014,0.16901408450704225,1.45,103,3.4396713776070253
TRXUSDT,89,2.973586717892426,0.21348314606741572,0.5955056179775281,0.19101123595505617,1.45,129,4.311700740944017
