# A1_trx_short_monthly_is
label,axis,year_month,n_trades,wins,win_rate_pct,net_pnl_pct_sum,weighted_pnl_sum,n_sl,n_tp,n_to
iter-v3/045 IS,A_TRX_SHORT,2022-02,1,0,0.0,-3.2616,-1.2394,1,0,0
iter-v3/045 IS,A_TRX_SHORT,2022-03,3,2,66.67,1.6323,-2.7213,1,1,1
iter-v3/045 IS,A_TRX_SHORT,2022-04,3,2,66.67,9.0947,8.6757,1,2,0
iter-v3/045 IS,A_TRX_SHORT,2022-05,3,1,33.33,-2.7389,-1.4422,2,1,0
iter-v3/045 IS,A_TRX_SHORT,2022-10,2,2,100.0,7.3532,5.5373,0,2,0
iter-v3/045 IS,A_TRX_SHORT,2023-01,1,0,0.0,-2.5977,0.0,1,0,0
iter-v3/045 IS,A_TRX_SHORT,2023-02,4,0,0.0,-10.005,-8.7405,4,0,0
iter-v3/045 IS,A_TRX_SHORT,2023-05,2,0,0.0,-3.3671,-1.9998,2,0,0
iter-v3/045 IS,A_TRX_SHORT,2023-06,1,0,0.0,-1.5896,-0.8902,1,0,0
iter-v3/045 IS,A_TRX_SHORT,2023-07,2,0,0.0,-3.4836,-1.8711,2,0,0
iter-v3/045 IS,A_TRX_SHORT,2023-09,1,0,0.0,-1.4327,-0.9743,1,0,0
iter-v3/045 IS,A_TRX_SHORT,2023-10,2,0,0.0,-2.6125,-0.704,2,0,0
iter-v3/045 IS,A_TRX_SHORT,2023-12,1,0,0.0,-2.0283,-1.8661,1,0,0
iter-v3/045 IS,A_TRX_SHORT,2024-01,4,1,25.0,-3.1839,-4.004,3,1,0
iter-v3/045 IS,A_TRX_SHORT,2024-03,1,1,100.0,4.3459,4.2155,0,1,0
iter-v3/045 IS,A_TRX_SHORT,2024-07,3,1,33.33,-0.3547,0.407,2,1,0
iter-v3/045 IS,A_TRX_SHORT,2024-08,2,0,0.0,-3.2966,-2.5918,2,0,0
iter-v3/045 IS,A_TRX_SHORT,2024-10,1,0,0.0,-1.0221,-0.368,1,0,0
iter-v3/045 IS,A_TRX_SHORT,2024-11,6,1,16.67,-13.5022,-2.5833,5,1,0

# A1b_trx_short_monthly_oos
label,axis,year_month,n_trades,wins,win_rate_pct,net_pnl_pct_sum,weighted_pnl_sum,n_sl,n_tp,n_to
iter-v3/045 OOS,A_TRX_SHORT,2025-05,1,0,0.0,-2.2401,-2.2401,1,0,0
