family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,0.003044,0.003044,0.001382,0.004705,2,2
calendar,interaction,-0.004048,-0.004048,nan,nan,2,6
calendar,mean_reversion,0.009372,0.009372,nan,nan,2,26
calendar,momentum,0.013930,0.013930,nan,nan,2,36
calendar,statistical,0.006264,0.006264,nan,nan,2,24
calendar,trend,0.001167,0.001167,nan,nan,2,39
calendar,volatility,0.000362,0.000362,nan,nan,2,40
calendar,volume,-0.009049,-0.009049,nan,nan,2,20
interaction,interaction,-0.009006,-0.018546,-0.020033,0.006022,6,6
interaction,mean_reversion,0.122388,0.122388,nan,nan,6,26
interaction,momentum,0.104205,0.104205,nan,nan,6,36
interaction,statistical,-0.034534,-0.034534,nan,nan,6,24
interaction,trend,0.130151,0.130151,nan,nan,6,39
interaction,volatility,0.145940,0.145940,nan,nan,6,40
interaction,volume,0.105517,0.105517,nan,nan,6,20
mean_reversion,mean_reversion,-0.004866,-0.009590,-0.016945,0.004852,26,26
mean_reversion,momentum,0.313945,0.313945,nan,nan,26,36
mean_reversion,statistical,-0.019887,-0.019887,nan,nan,26,24
mean_reversion,trend,0.160843,0.160843,nan,nan,26,39
mean_reversion,volatility,-0.008299,-0.008299,nan,nan,26,40
mean_reversion,volume,0.251123,0.251123,nan,nan,26,20
momentum,momentum,-0.015944,-0.018390,-0.020950,-0.012469,36,36
momentum,statistical,0.127122,0.127122,nan,nan,36,24
momentum,trend,0.717666,0.717666,nan,nan,36,39
momentum,volatility,0.049204,0.049204,nan,nan,36,40
momentum,volume,0.737831,0.737831,nan,nan,36,20
statistical,statistical,-0.008806,-0.012030,-0.018634,-0.004079,24,24
statistical,trend,0.131966,0.131966,nan,nan,24,39
statistical,volatility,0.101943,0.101943,nan,nan,24,40
statistical,volume,0.101718,0.101718,nan,nan,24,20
trend,trend,-0.005650,-0.007051,-0.018274,0.005821,39,39
trend,volatility,0.078900,0.078900,nan,nan,39,40
trend,volume,0.694554,0.694554,nan,nan,39,20
volatility,volatility,0.009625,0.009956,0.005603,0.015340,40,40
volatility,volume,-0.004648,-0.004648,nan,nan,40,20
volume,volume,0.000212,-0.000657,-0.015783,0.015338,20,20
