symbol,trades,wins,win_rate,net_pnl_pct,avg_pnl_pct,pct_of_total_pnl
LINKUSDT,158,72,45.6,121.6614,0.7700,671.79
LTCUSDT,135,63,46.7,112.6245,0.8343,621.89
DOTUSDT,130,54,41.5,17.3916,0.1338,96.03
BTCUSDT,167,52,31.1,-102.6937,-0.6149,-567.05
ETHUSDT,186,61,32.8,-130.8737,-0.7036,-722.66
