symbol,oi_feature,funding_feature,ic_spearman,n_pairs
BTCUSDT,oi_delta_30,funding_rate_zscore_30,0.135,4951
BTCUSDT,oi_delta_30,funding_rate_zscore_90,0.0802,4959
BTCUSDT,oi_delta_30_z90,funding_rate_zscore_30,0.1203,4679
BTCUSDT,oi_delta_30_z90,funding_rate_zscore_90,0.0564,4684
