family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,-0.000757,-0.000757,-0.003045,0.001531,2,2
calendar,interaction,-0.000394,-0.000394,nan,nan,2,6
calendar,mean_reversion,0.015496,0.015496,nan,nan,2,26
calendar,momentum,0.043904,0.043904,nan,nan,2,36
calendar,statistical,-0.011290,-0.011290,nan,nan,2,24
calendar,trend,0.015241,0.015241,nan,nan,2,39
calendar,volatility,0.009726,0.009726,nan,nan,2,40
calendar,volume,0.010483,0.010483,nan,nan,2,20
interaction,interaction,-0.020042,-0.032079,-0.034815,-0.002342,6,6
interaction,mean_reversion,0.165710,0.165710,nan,nan,6,26
interaction,momentum,0.058451,0.058451,nan,nan,6,36
interaction,statistical,-0.125051,-0.125051,nan,nan,6,24
interaction,trend,0.033969,0.033969,nan,nan,6,39
interaction,volatility,0.774825,0.774825,nan,nan,6,40
interaction,volume,0.087278,0.087278,nan,nan,6,20
mean_reversion,mean_reversion,-0.004490,-0.013334,-0.028371,0.014970,26,26
mean_reversion,momentum,0.482593,0.482593,nan,nan,26,36
mean_reversion,statistical,0.056954,0.056954,nan,nan,26,24
mean_reversion,trend,0.257662,0.257662,nan,nan,26,39
mean_reversion,volatility,0.126818,0.126818,nan,nan,26,40
mean_reversion,volume,0.369901,0.369901,nan,nan,26,20
momentum,momentum,-0.031650,-0.032934,-0.036079,-0.026038,36,36
momentum,statistical,0.136205,0.136205,nan,nan,36,24
momentum,trend,0.681364,0.681364,nan,nan,36,39
momentum,volatility,-0.025218,-0.025218,nan,nan,36,40
momentum,volume,0.756643,0.756643,nan,nan,36,20
statistical,statistical,-0.014838,-0.001666,-0.022726,0.000949,24,24
statistical,trend,0.130107,0.130107,nan,nan,24,39
statistical,volatility,-0.089004,-0.089004,nan,nan,24,40
statistical,volume,0.111618,0.111618,nan,nan,24,20
trend,trend,-0.009098,-0.013838,-0.027708,0.004780,39,39
trend,volatility,0.023344,0.023344,nan,nan,39,40
trend,volume,0.672990,0.672990,nan,nan,39,20
volatility,volatility,0.007452,0.009224,-0.004483,0.021999,40,40
volatility,volume,0.049723,0.049723,nan,nan,40,20
volume,volume,-0.004677,-0.005971,-0.034826,0.024182,20,20
