month,selected_window,train_sharpe,n_windows_evaluated
2022-01,400,2.1431246125706913,12
2022-02,400,2.033895101817397,12
2022-03,400,1.793355735822433,12
2022-04,325,1.8571411899013464,12
2022-05,325,1.7424640992490716,12
2022-06,225,1.6251720523680528,13
2022-07,400,1.8593754865594048,12
2022-08,400,1.8268285155695425,12
2022-09,200,1.3989115321721837,12
2022-10,200,1.5752483361955558,12
2022-11,350,1.4422820201116968,11
2022-12,200,1.1243289404472403,12
2023-01,200,1.0210373859378508,12
2023-02,75,0.5863633560861248,14
2023-03,200,0.5881973884967011,12
2023-04,75,0.7488270602193994,13
2023-05,75,0.22622943992988634,13
2023-06,125,0.48998275707114247,13
2023-07,125,0.23724708906625513,13
2023-08,50,0.45650803995727424,13
2023-09,50,0.2635410564675341,13
2023-10,50,0.3905096701213967,13
2023-11,50,0.11097274529334604,13
2023-12,125,0.14110153249732632,13
2024-01,50,0.5494974204829083,13
2024-02,50,0.483660911327774,13
2024-03,50,0.23690659624648622,13
2024-04,50,0.6554802371853454,13
2024-05,125,0.5587976789557385,13
2024-06,50,0.16645532502581828,13
2024-07,125,-0.10645420847516893,13
2024-08,400,-0.2874481416293707,12
2024-09,225,-0.30892503737267285,13
2024-10,350,0.013442486083182976,13
2024-11,375,0.24331875331359135,13
2024-12,225,0.2951984094965596,13
2025-01,125,0.5796305954051615,13
2025-02,200,0.5155558571294343,12
2025-03,225,0.5932001506563613,12
2025-04,200,0.7663098071642338,13
2025-05,125,0.7447805035866724,13
2025-06,175,0.7840475533013422,13
2025-07,125,0.9323498930138947,13
2025-08,125,0.8582296684504708,13
2025-09,75,0.9585897518775872,12
2025-10,125,1.0591419611837434,13
2025-11,175,1.2326397157946665,13
2025-12,125,1.1898841627359984,13
2026-01,100,1.151061735314003,13
2026-02,100,1.207626529033967,13
2026-03,175,1.3771199856596295,13
2026-04,175,0.8838633274524047,13
2026-05,175,0.9599407262163234,13
2026-06,175,1.3423490929774597,13
