architecture,mean_auc,median_auc,mean_acc,mean_ic,n_cells,auc_lift_vs_per_symbol
per_symbol,0.49828405394759645,0.5010153622693726,0.5513349295248604,-0.019112716702351103,20,0.0
pooled,0.49745891475072845,0.5014945619663429,0.5472867437429597,-0.005188298061359007,20,-0.0008251391968679966
