symbol,mean_pooled_train_n,mean_per_symbol_train_n,mean_sample_multiplier,min_per_symbol_train_n
BCHUSDT,6704.125,3075.0,2.1149999999999998,1108
LDOUSDT,9553.0,1213.0,10.2925,370
TRXUSDT,6704.125,3022.625,2.15875,1065
