symbol,fold,per_symbol_train_n,per_symbol_auc
BCHUSDT,0,1108,0.40325885263646205
TRXUSDT,0,1065,0.518861046087724
BCHUSDT,1,1670,0.49245439081105546
TRXUSDT,1,1627,0.5741219008264462
BCHUSDT,2,2232,0.6320165745856353
TRXUSDT,2,2189,0.47394227127630795
BCHUSDT,3,2794,0.5064878951134875
TRXUSDT,3,2736,0.473046715626275
BCHUSDT,4,3356,0.45847632120796156
LDOUSDT,4,370,0.45753138352051004
TRXUSDT,4,3298,0.4338833883388339
BCHUSDT,5,3918,0.4996571258199165
LDOUSDT,5,932,0.5389275738620717
TRXUSDT,5,3860,0.5023735987188287
BCHUSDT,6,4480,0.45392323197169415
LDOUSDT,6,1494,0.5100503164228655
TRXUSDT,6,4422,0.4087163356556099
BCHUSDT,7,5042,0.5277699552551707
LDOUSDT,7,2056,0.5404469987228608
TRXUSDT,7,4984,0.5597352024922119
