third,fold_lo,fold_hi,pooled_auc,per_symbol_auc,lift
0,0,2,0.5135327211706553,0.5157758393706051,-0.002243118199949823
1,3,4,0.5156481084120338,0.4658851407614136,0.049762967650620216
2,5,7,0.47663793621449646,0.5046222598801366,-0.027984323665640187
