fold,n_test,per_symbol_auc,pooled_auc,lift
4,562,0.4575,0.6384,0.1809
5,562,0.5389,0.5176,-0.0213
6,562,0.5101,0.4984,-0.0117
7,561,0.5404,0.5995,0.0591
