sample,conf_bucket,n_trades,win_rate_pct,net_pnl_pct,avg_pnl_pct
IS,"[0.55,0.70)",11,36.36,1.1409,0.1037
IS,"[0.70,0.80)",39,35.9,-44.2706,-1.1351
IS,"[0.80,0.90)",48,39.58,4.2753,0.0891
IS,"[0.90,1.01)",26,46.15,42.1275,1.6203
OOS,"[0.55,0.70)",3,33.33,-0.9078,-0.3026
OOS,"[0.70,0.80)",12,33.33,-15.0084,-1.2507
OOS,"[0.80,0.90)",16,25.0,-26.7671,-1.6729
OOS,"[0.90,1.01)",3,33.33,-4.5651,-1.5217
