symbol,n_trades,n_tp,n_sl,n_timeout,n_end_of_data,pct_tp,pct_sl,pct_timeout,pct_end_of_data,mean_weighted_pnl,total_weighted_pnl
BCHUSDT,94,29,56,9,0,30.851063829787233,59.57446808510638,9.574468085106384,0.0,0.3707468085106383,34.8502
LDOUSDT,15,7,8,0,0,46.666666666666664,53.333333333333336,0.0,0.0,2.6688733333333334,40.033100000000005
TRXUSDT,85,25,56,4,0,29.41176470588235,65.88235294117646,4.705882352941177,0.0,-0.06846941176470586,-5.819899999999999
ALGOUSDT,63,20,41,2,0,31.746031746031747,65.07936507936508,3.1746031746031744,0.0,-0.05239999999999999,-3.3011999999999992
