symbol,d24_candidate,baseline_auc_mean,augmented_auc_mean,auc_lift,lift_positive,n_folds
BCHUSDT,d24_hurst_100,0.4911,0.4989,0.0078,Y,4
BCHUSDT,d24_hurst_diff_100_50,0.4911,0.5115,0.0204,Y,4
BCHUSDT,d24_range_realized_vol_50,0.4911,0.4991,0.008,Y,4
BCHUSDT,d24_ret_kurt_50,0.4911,0.4758,-0.0153,N,4
BCHUSDT,d24_ret_skew_50,0.4911,0.488,-0.0031,N,4
BCHUSDT,d24_ret_kurt_200,0.4911,0.4989,0.0078,Y,4
BCHUSDT,d24_ret_skew_200,0.4911,0.4874,-0.0037,N,4
BCHUSDT,d24_max_dd_window_50,0.4911,0.4827,-0.0084,N,4
BCHUSDT,d24_vwap_dev_20,0.4911,0.4912,0.0001,Y,4
BCHUSDT,d24_ema_spread_atr_20,0.4911,0.4961,0.005,Y,4
BCHUSDT,d24_ret_autocorr_lag1_50,0.4911,0.5094,0.0183,Y,4
BCHUSDT,d24_btc_ret_14d,0.4911,0.4919,0.0008,Y,4
BCHUSDT,d24_sym_vs_btc_ret_7d,0.4911,0.4949,0.0038,Y,4
BCHUSDT,d24_regime_momentum_signed_5d,0.4911,0.4985,0.0075,Y,4
LDOUSDT,d24_hurst_100,0.4799,0.4992,0.0193,Y,4
LDOUSDT,d24_hurst_diff_100_50,0.4799,0.472,-0.0079,N,4
LDOUSDT,d24_range_realized_vol_50,0.4799,0.49,0.01,Y,4
LDOUSDT,d24_ret_kurt_50,0.4799,0.4803,0.0004,Y,4
LDOUSDT,d24_ret_skew_50,0.4799,0.4874,0.0075,Y,4
LDOUSDT,d24_ret_kurt_200,0.4799,0.5203,0.0404,Y,4
LDOUSDT,d24_ret_skew_200,0.4799,0.4663,-0.0136,N,4
LDOUSDT,d24_max_dd_window_50,0.4799,0.5054,0.0255,Y,4
LDOUSDT,d24_vwap_dev_20,0.4799,0.4995,0.0196,Y,4
LDOUSDT,d24_ema_spread_atr_20,0.4799,0.4785,-0.0014,N,4
LDOUSDT,d24_ret_autocorr_lag1_50,0.4799,0.4883,0.0084,Y,4
LDOUSDT,d24_btc_ret_14d,0.4799,0.4883,0.0084,Y,4
LDOUSDT,d24_sym_vs_btc_ret_7d,0.4799,0.4924,0.0125,Y,4
LDOUSDT,d24_regime_momentum_signed_5d,0.4799,0.5068,0.0269,Y,4
TRXUSDT,d24_hurst_100,0.5259,0.5292,0.0033,Y,4
TRXUSDT,d24_hurst_diff_100_50,0.5259,0.523,-0.0029,N,4
TRXUSDT,d24_range_realized_vol_50,0.5259,0.5173,-0.0086,N,4
TRXUSDT,d24_ret_kurt_50,0.5259,0.5316,0.0057,Y,4
TRXUSDT,d24_ret_skew_50,0.5259,0.5422,0.0163,Y,4
TRXUSDT,d24_ret_kurt_200,0.5259,0.5229,-0.003,N,4
TRXUSDT,d24_ret_skew_200,0.5259,0.5317,0.0058,Y,4
TRXUSDT,d24_max_dd_window_50,0.5259,0.5315,0.0056,Y,4
TRXUSDT,d24_vwap_dev_20,0.5259,0.5175,-0.0084,N,4
TRXUSDT,d24_ema_spread_atr_20,0.5259,0.5207,-0.0052,N,4
TRXUSDT,d24_ret_autocorr_lag1_50,0.5259,0.5433,0.0174,Y,4
TRXUSDT,d24_btc_ret_14d,0.5259,0.5253,-0.0006,N,4
TRXUSDT,d24_sym_vs_btc_ret_7d,0.5259,0.5282,0.0023,Y,4
TRXUSDT,d24_regime_momentum_signed_5d,0.5259,0.5237,-0.0022,N,4
