d24_candidate,max_abs_ic,max_ic_partner,ic_pf_strict_0.40,ic_max_dd_window_50,ic_ema_spread_atr_20,ic_ret_kurt_50,ic_ret_skew_200,ic_range_realized_vol_50,ic_hurst_diff_100_50,ic_ret_kurt_200,ic_hurst_100,ic_btc_ret_14d,ic_ret_skew_50,ic_vwap_dev_20,ic_ret_autocorr_lag1_50,ic_sym_vs_btc_ret_7d,ic_regime_momentum_signed_5d
d24_hurst_100,0.1047,hurst_100,PASS,-0.0253,-0.0301,-0.0168,0.0558,-0.0399,-0.0062,0.0404,0.1047,-0.0086,-0.0801,-0.0202,0.0533,-0.0128,-0.0197
d24_hurst_diff_100_50,0.1585,hurst_100,PASS,0.0412,-0.0919,0.0799,0.0139,-0.0728,-0.081,0.084,-0.1585,-0.0952,-0.108,-0.0422,0.0137,-0.0302,-0.0562
d24_range_realized_vol_50,0.7506,range_realized_vol_50,FAIL,-0.7486,-0.1559,-0.0389,0.2744,0.7506,0.0032,0.1801,0.0833,-0.1302,0.0809,-0.0924,0.1055,0.0052,-0.0561
d24_ret_kurt_50,0.6108,ret_kurt_200,FAIL,-0.0473,0.1084,0.2362,0.5234,0.1061,-0.0002,0.6108,0.0308,0.03,0.2269,0.0162,0.0833,0.1274,0.093
d24_ret_skew_50,0.5938,ret_skew_200,FAIL,0.0614,0.2561,0.0894,0.5938,0.1555,0.0277,0.363,0.0831,0.1278,0.3635,0.035,0.1645,0.1607,0.1465
d24_ret_kurt_200,0.6161,ret_kurt_200,FAIL,-0.0109,0.0225,0.1225,0.5528,0.029,-0.0137,0.6161,0.02,-0.0314,0.1012,-0.0156,0.0517,0.0691,0.0281
d24_ret_skew_200,0.5757,ret_skew_200,FAIL,-0.0435,0.0312,0.0763,0.5757,0.0535,-0.0379,0.4627,0.0388,0.0103,0.178,-0.0193,0.0172,0.0553,0.0363
d24_max_dd_window_50,0.7742,max_dd_window_50,FAIL,0.7742,0.6921,0.0284,-0.0173,-0.3687,-0.0175,-0.0874,-0.0538,0.4209,0.2036,0.2942,-0.0303,0.2942,0.3812
d24_vwap_dev_20,0.8072,ema_spread_atr_20,FAIL,0.4882,0.8072,-0.0546,0.0461,-0.2227,-0.0134,-0.0227,0.0088,0.5672,0.2761,0.4701,-0.0479,0.5284,0.6549
d24_ema_spread_atr_20,0.9479,ema_spread_atr_20,FAIL,0.426,0.9479,-0.0023,0.1247,-0.049,-0.0127,0.0243,0.0538,0.5022,0.3629,0.572,0.064,0.4908,0.6462
d24_ret_autocorr_lag1_50,0.1601,btc_ret_14d,PASS,0.0521,0.0523,-0.0923,-0.0503,-0.0746,-0.0102,-0.0813,0.1349,0.1601,-0.0097,-0.0004,0.074,-0.0659,0.0063
d24_btc_ret_14d,0.9572,btc_ret_14d,FAIL,0.3338,0.536,-0.0629,0.055,-0.1718,-0.0449,-0.0076,-0.0325,0.9572,0.2142,0.2335,-0.0799,-0.0389,0.3388
d24_sym_vs_btc_ret_7d,0.9004,sym_vs_btc_ret_7d,FAIL,0.1541,0.4863,0.0441,0.1042,0.0556,0.0416,0.0497,0.0567,-0.0524,0.1855,0.2993,0.0647,0.9004,0.5239
d24_regime_momentum_signed_5d,0.285,regime_momentum_signed_5d,PASS,0.1225,0.219,0.0257,0.0245,-0.0539,0.0076,0.0268,0.0261,0.1363,0.0752,0.1663,-0.0018,0.2329,0.285
