symbol,d24_candidate,rank_of_15,importance_gain,total_importance,share_of_total,n_train_rows,rank_pass_top_8
BCHUSDT,d24_hurst_100,7,744.88,9745.39,0.0764,4794,PASS
BCHUSDT,d24_hurst_diff_100_50,1,1430.22,10486.07,0.1364,4794,PASS
BCHUSDT,d24_range_realized_vol_50,1,1774.53,10080.67,0.176,4794,PASS
BCHUSDT,d24_ret_kurt_50,4,945.31,9947.67,0.095,4794,PASS
BCHUSDT,d24_ret_skew_50,4,910.05,9594.32,0.0949,4794,PASS
BCHUSDT,d24_ret_kurt_200,5,1081.59,10540.28,0.1026,4794,PASS
BCHUSDT,d24_ret_skew_200,1,1523.16,10152.29,0.15,4794,PASS
BCHUSDT,d24_max_dd_window_50,9,566.49,9728.91,0.0582,4794,FAIL
BCHUSDT,d24_vwap_dev_20,12,211.18,9360.56,0.0226,4794,FAIL
BCHUSDT,d24_ema_spread_atr_20,13,141.27,9342.25,0.0151,4794,FAIL
BCHUSDT,d24_ret_autocorr_lag1_50,2,1412.06,9880.95,0.1429,4794,PASS
BCHUSDT,d24_btc_ret_14d,6,723.33,9525.54,0.0759,4794,PASS
BCHUSDT,d24_sym_vs_btc_ret_7d,13,187.41,9560.27,0.0196,4794,FAIL
BCHUSDT,d24_regime_momentum_signed_5d,12,135.73,9753.54,0.0139,4794,FAIL
LDOUSDT,d24_hurst_100,5,537.23,6053.57,0.0887,2039,PASS
LDOUSDT,d24_hurst_diff_100_50,4,502.92,5634.09,0.0893,2039,PASS
LDOUSDT,d24_range_realized_vol_50,3,655.53,6092.48,0.1076,2039,PASS
LDOUSDT,d24_ret_kurt_50,1,1300.49,6319.4,0.2058,2039,PASS
LDOUSDT,d24_ret_skew_50,2,747.41,6046.98,0.1236,2039,PASS
LDOUSDT,d24_ret_kurt_200,8,409.79,5911.75,0.0693,2039,PASS
LDOUSDT,d24_ret_skew_200,5,537.17,6028.72,0.0891,2039,PASS
LDOUSDT,d24_max_dd_window_50,3,632.08,6201.6,0.1019,2039,PASS
LDOUSDT,d24_vwap_dev_20,12,190.66,5938.38,0.0321,2039,FAIL
LDOUSDT,d24_ema_spread_atr_20,6,384.84,5666.39,0.0679,2039,PASS
LDOUSDT,d24_ret_autocorr_lag1_50,1,852.95,6224.5,0.137,2039,PASS
LDOUSDT,d24_btc_ret_14d,9,266.68,5855.87,0.0455,2039,FAIL
LDOUSDT,d24_sym_vs_btc_ret_7d,9,281.94,5814.45,0.0485,2039,FAIL
LDOUSDT,d24_regime_momentum_signed_5d,8,403.11,6230.38,0.0647,2039,PASS
TRXUSDT,d24_hurst_100,11,429.44,9472.79,0.0453,4683,FAIL
TRXUSDT,d24_hurst_diff_100_50,4,896.6,10615.56,0.0845,4683,PASS
TRXUSDT,d24_range_realized_vol_50,1,1419.85,9991.37,0.1421,4683,PASS
TRXUSDT,d24_ret_kurt_50,3,1152.28,9985.45,0.1154,4683,PASS
TRXUSDT,d24_ret_skew_50,2,1486.09,11190.59,0.1328,4683,PASS
TRXUSDT,d24_ret_kurt_200,3,905.25,9923.03,0.0912,4683,PASS
TRXUSDT,d24_ret_skew_200,7,715.09,9877.67,0.0724,4683,PASS
TRXUSDT,d24_max_dd_window_50,13,326.06,10276.42,0.0317,4683,FAIL
TRXUSDT,d24_vwap_dev_20,13,198.31,9726.87,0.0204,4683,FAIL
TRXUSDT,d24_ema_spread_atr_20,15,70.07,10082.18,0.0069,4683,FAIL
TRXUSDT,d24_ret_autocorr_lag1_50,3,1102.19,10179.34,0.1083,4683,PASS
TRXUSDT,d24_btc_ret_14d,11,411.68,9809.68,0.042,4683,FAIL
TRXUSDT,d24_sym_vs_btc_ret_7d,12,373.03,10072.1,0.037,4683,FAIL
TRXUSDT,d24_regime_momentum_signed_5d,13,307.77,9973.85,0.0309,4683,FAIL
