symbol,trades,wins,win_rate,net_pnl_pct,avg_pnl_pct,pct_of_total_pnl
TRXUSDT,38,17,44.7,7.8934,0.2077,44.80
LDOUSDT,2,1,50.0,7.0205,3.5103,39.84
BCHUSDT,20,7,35.0,2.7060,0.1353,15.36
