month,sample,n_trades,n_wins,win_rate_pct,net_pnl_pct
2022-08,IS,4,2,50.0,-4.7798
2022-09,IS,6,4,66.667,20.3474
2022-10,IS,3,2,66.667,6.4226
2022-11,IS,3,0,0.0,-7.3588
2022-12,IS,6,1,16.667,-14.1857
2023-01,IS,4,1,25.0,-7.9272
2023-02,IS,4,1,25.0,-8.1887
2023-03,IS,4,2,50.0,4.3942
2023-04,IS,6,3,50.0,6.604
2023-05,IS,2,1,50.0,6.5894
2023-06,IS,5,1,20.0,-17.1357
2023-07,IS,1,0,0.0,-4.8941
2023-08,IS,3,2,66.667,3.3508
2023-09,IS,4,3,75.0,0.8657
2023-10,IS,4,1,25.0,-2.2965
2023-11,IS,1,1,100.0,12.0028
2023-12,IS,1,1,100.0,5.8986
2024-01,IS,5,3,60.0,18.7937
2024-02,IS,4,2,50.0,14.5221
2024-03,IS,1,1,100.0,3.6997
2024-04,IS,1,1,100.0,11.5346
2024-06,IS,3,0,0.0,-18.4948
2024-07,IS,3,0,0.0,-14.3194
2024-08,IS,4,1,25.0,-6.3978
2024-09,IS,1,0,0.0,-5.783
2024-10,IS,1,0,0.0,-4.3455
2024-11,IS,3,1,33.333,-11.1328
2024-12,IS,1,0,0.0,-3.8156
2025-01,IS,2,2,100.0,27.6016
2025-02,IS,3,2,66.667,15.0524
2025-04,OOS,3,2,66.667,10.5644
2025-05,OOS,6,2,33.333,-8.9589
2025-06,OOS,1,0,0.0,-5.6514
2025-07,OOS,3,1,33.333,-3.3015
2025-08,OOS,5,3,60.0,21.4957
2025-09,OOS,3,0,0.0,-14.5352
2025-10,OOS,3,0,0.0,-15.386
2025-11,OOS,3,1,33.333,3.6576
2025-12,OOS,4,1,25.0,-13.3216
2026-01,OOS,4,3,75.0,17.5199
2026-02,OOS,3,1,33.333,-0.5777
2026-03,OOS,3,2,66.667,7.888
2026-04,OOS,2,1,50.0,0.8157
2026-05,OOS,3,1,33.333,1.7499
