sample,n_trades,n_wins,win_rate_pct,net_pnl_pct,avg_pnl_pct,median_pnl_pct,std_pnl_pct,sharpe_per_trade
IS_dir-1,37,15,40.541,1.2376,0.0334,-3.1507,7.3934,0.0045
IS_dir+1,56,24,42.857,25.3866,0.4533,-2.9324,7.1235,0.0636
OOS_dir-1,26,11,42.308,3.5624,0.137,-4.763,7.6242,0.018
OOS_dir+1,20,7,35.0,-1.6035,-0.0802,-4.9676,8.5963,-0.0093
