scope,n_trades,overext_atr_50_AUC,ema_spread_atr_20_AUC,vwap_dev_20_AUC,atr_pct_rank_200_AUC,max_abs_AUC_minus_0.5
ALL_IS,159,0.4686,0.436,0.4669,0.5074,0.064
BULL_months,104,0.4437,0.442,0.4336,0.4588,0.0664
BCH,73,0.4136,0.4689,0.4364,0.5674,0.0864
LDO,11,0.9167,0.5417,0.625,0.5,0.4167
TRX,75,0.4871,0.3962,0.4863,0.4734,0.1038
