feature_name,mean_gain,importance_rank
stat_autocorr_lag5,20002.6641,1
vol_atr_14,17971.3178,2
trend_aroon_osc_50,17788.078,3
stat_kurtosis_20,10563.8699,4
stat_skew_20,10415.6974,5
oi_delta_30_z90,10391.1842,6
interact_natr_x_adx,10325.5778,7
mom_macd_line_12_26_9,8846.8347,8
trend_adx_14,8791.2277,9
btc_funding_spread_30_90,8787.8537,10
vol_natr_14,7406.0289,11
long_short_zscore_30,6888.3385,12
vol_bb_bandwidth_20,6201.2963,13
trend_plus_di_14,5781.9203,14
mr_pct_from_low_20,4187.9015,15
funding_rate_zscore_90,3901.4064,16
vol_cmf_14,3796.0375,17
mom_macd_hist_12_26_9,3781.5722,18
trend_minus_di_14,3526.1957,19
vol_mfi_14,2993.4599,20
interact_rsi_x_adx,2986.9285,21
mr_pct_from_high_20,2631.8047,22
funding_rate_zscore_30,1969.5996,23
trend_aroon_osc_14,1940.6557,24
trend_ema_cross_5_12,1500.8399,25
interact_stoch_x_adx,1427.2594,26
mom_stoch_k_14,1341.6044,27
regime_momentum_signed_5d,1288.5999,28
mom_willr_14,1137.0016,29
interact_rsi_x_natr,1113.132,30
mom_rsi_14,890.9722,31
mom_stoch_d_14,844.8466,32
mom_roc_10,782.0845,33
vol_range_spike_72,757.3356,34
stat_return_5,684.5005,35
trend_supertrend_14_3,618.2011,36
vol_volume_rel_20,583.7425,37
cal_dow_norm,528.8843,38
vol_volume_pctchg_5,318.3656,39
vol_range_spike_24,264.3553,40
vol_taker_buy_ratio,254.2146,41
interact_ret1_x_ret3,247.9519,42
interact_ret1_x_natr,149.5753,43
stat_log_return_1,143.813,44
mr_rsi_extreme_14,9.6394,45
cal_hour_norm,3.8894,46
dot_vs_btc_ret_ratio_30,0.0,47
eth_vs_btc_ret_ratio_30,0.0,48
