date,pnl_pct,trade_count
2025-04-02,5.7223,1
2025-05-06,-2.3851,1
2025-05-08,-2.5513,1
2025-05-18,-2.9056,1
2025-05-21,-3.2915,1
2025-05-29,-3.4328,1
2025-06-05,-2.1067,1
2025-06-09,4.2282,1
2025-06-13,1.6589,1
2025-06-21,-0.4319,1
2025-07-03,-0.8915,1
2025-07-10,1.2809,1
2025-07-22,0.6518,1
2025-07-31,-0.7000,1
2025-08-09,0.9529,1
2025-08-11,3.8009,1
2025-08-18,-0.8498,1
2025-08-21,-0.8478,1
2025-08-24,-0.9297,1
2025-09-02,-0.0492,1
2025-09-11,-0.6941,1
2025-09-20,-0.1493,1
2025-09-25,-0.7418,1
2025-10-01,-0.6686,1
2025-10-26,-3.3592,1
2025-10-30,5.6909,1
2025-11-04,2.3779,1
2025-11-14,6.9178,1
2025-12-03,4.3948,1
2025-12-12,-0.1918,1
2025-12-15,-1.2082,1
2025-12-18,-1.1975,1
2025-12-27,0.2598,1
2026-01-04,1.0064,1
2026-02-21,1.1237,1
2026-02-23,-3.6330,1
2026-03-04,-4.5706,1
2026-03-12,1.7557,1
2026-03-16,-4.2524,1
2026-03-21,2.3507,1
2026-03-29,2.6411,1
2026-04-02,-1.3105,1
2026-04-07,2.3492,1
2026-04-16,1.1347,1
2026-04-22,-1.1044,1
2026-04-30,0.7701,1
2026-05-06,1.7608,1
2026-05-14,0.5389,1
2026-05-17,-0.9964,1
2026-05-23,-0.9023,1
2026-05-27,-0.3925,1
