candidate,BCHUSDT,LDOUSDT,TRXUSDT,n_g1_pass
A2_eth_vs_btc_ret_21d,0.4694,0.5744,0.5601,2
A4_eth_ret_3d,0.4629,0.5301,0.5379,2
A1_eth_ret_14d,0.4666,0.4401,0.5553,1
A3_eth_vs_btc_vol_diff_14d,0.4767,0.4065,0.4938,0
