candidate_family,n_features_added,composite_ic_mean,composite_ic_ir,quintile_ls_spread_sharpe,delta_ic_mean_vs_anchor,delta_ic_ir_vs_anchor,delta_spread_sharpe_vs_anchor
B1_idiosyncratic_vol,2,0.06589,0.2126,-0.0702,0.00738,0.0145,0.0052
B2_downside_risk,4,0.06849,0.2287,-0.0539,0.00998,0.0306,0.0215
B3_liquidity_size,3,0.06442,0.2155,-0.0581,0.00591,0.0174,0.0173
