symbol,feature,n,mean,std,p05,p25,p50,p75,p95,missing
LINKUSDT,vol_atr_14,2160,0.565268,0.384703,0.141157,0.250053,0.50241,0.723732,1.382062,False
BTCUSDT,vol_atr_14,2160,1248.645459,752.807438,344.868725,595.690802,1119.166954,1695.197595,2664.72945,False
ETHUSDT,vol_atr_14,2160,70.029977,35.620225,23.571422,40.360654,62.679212,95.881378,137.444362,False
LTCUSDT,vol_atr_14,2160,2.905546,1.80805,1.240884,1.679085,2.197417,3.584786,6.9221,False
DOTUSDT,vol_atr_14,2160,0.224284,0.140409,0.075369,0.127085,0.181195,0.279173,0.543634,False
