spec,atr_tp_mult,atr_sl_mult,rr,tp_dist_p25_pct,tp_dist_p50_pct,tp_dist_p75_pct,sl_dist_p25_pct,sl_dist_p50_pct,sl_dist_p75_pct
baseline C (3.5/1.75),3.5,1.75,2.0,9.8867,12.4968,16.4878,4.9434,6.2484,8.2439
Model A profile (2.9/1.45),2.9,1.45,2.0,8.1919,10.3545,13.6613,4.0959,5.1772,6.8307
Specialization A: tighter (3.0/1.5),3.0,1.5,2.0,8.4743,10.7115,14.1324,4.2372,5.3558,7.0662
Specialization B: wider (4.0/2.0),4.0,2.0,2.0,11.2991,14.282,18.8432,5.6496,7.141,9.4216
Specialization C: 1:1 (2.0/2.0),2.0,2.0,1.0,5.6496,7.141,9.4216,5.6496,7.141,9.4216
Specialization D: 3:1 (4.5/1.5),4.5,1.5,3.0,12.7115,16.0673,21.1986,4.2372,5.3558,7.0662
