iter,exists,link_oos_trades,link_oos_net_pnl,link_oos_wr,link_oos_avg
11,True,47,84.8644,0.5532,1.8056
12,True,46,53.3584,0.4783,1.16
13,True,46,47.0759,0.5,1.0234
14,True,44,3.865,0.4318,0.0878
15,True,48,84.576,0.5417,1.762
16,True,60,34.9109,0.45,0.5818
17,True,48,53.7955,0.5,1.1207
