month,n_trades,net_pnl_pct,wins,avg
2025-03,1,10.7723,1,10.7723
2025-05,3,-8.0843,1,-2.6947666666666668
2025-06,4,26.265700000000002,3,6.566425000000001
2025-07,4,-12.311,1,-3.07775
2025-08,4,-1.0166000000000004,2,-0.2541500000000001
2025-09,2,14.990100000000002,2,7.495050000000001
2025-10,1,6.9132,1,6.9132
2026-01,2,-9.5653,0,-4.78265
2026-02,4,5.362899999999999,2,1.3407249999999997
2026-03,1,-5.0032,0,-5.0032
2026-04,2,5.9107,1,2.95535
