indicator,n_bull,wr_bull,total_pnl_bull,avg_pnl_bull,n_bear,wr_bear,total_pnl_bear,avg_pnl_bear,avg_pnl_separation,bull_per_trade_sharpe,is_skip_pct,is_pnl_baseline,is_pnl_gated,is_pnl_lift
I1_sma_50,73,36.986301369863014,-13.516000000000005,-0.1851506849315069,72,40.27777777777778,-0.18380000000000862,-0.0025527777777778976,-0.182597907153729,-0.03398973065231872,49.6551724137931,-13.699799999999996,-13.516000000000005,0.18379999999999086
I2_ret_14d,75,37.333333333333336,-16.278599999999983,-0.21704799999999977,70,40.0,2.578799999999986,0.036839999999999797,-0.25388799999999956,-0.038969658415782836,48.275862068965516,-13.699799999999996,-16.278599999999983,-2.578799999999987
I3_ema12_v_ema26,69,37.68115942028986,-11.5027,-0.16670579710144928,76,39.473684210526315,-2.1971000000000034,-0.028909210526315832,-0.13779658657513344,-0.031211036816277037,52.41379310344828,-13.699799999999996,-11.5027,2.1970999999999954
