indicator,direction,btc_bull,label,n,wr_pct,total_pnl_pct,avg_pnl_pct
I1_sma_50,long,True,long_btc+,32,43.75,11.2863,0.352696875
I1_sma_50,long,False,long_btc-,38,39.473684210526315,-0.4477999999999982,-0.011784210526315743
I1_sma_50,short,True,short_btc+,41,31.70731707317073,-24.802299999999995,-0.6049341463414633
I1_sma_50,short,False,short_btc-,34,41.17647058823529,0.26399999999999624,0.007764705882352831
I3_ema12_v_ema26,long,True,long_btc+,30,46.666666666666664,12.0227,0.4007566666666667
I3_ema12_v_ema26,long,False,long_btc-,40,37.5,-1.1841999999999917,-0.02960499999999979
I3_ema12_v_ema26,short,True,short_btc+,39,30.76923076923077,-23.525399999999998,-0.6032153846153846
I3_ema12_v_ema26,short,False,short_btc-,36,41.66666666666667,-1.012899999999997,-0.02813611111111103
I2_ret_14d_>0,long,True,long_btc+,33,45.45454545454545,20.399100000000008,0.6181545454545457
I2_ret_14d_>0,long,False,long_btc-,37,37.83783783783784,-9.560599999999997,-0.2583945945945945
I2_ret_14d_>0,short,True,short_btc+,42,30.952380952380953,-36.677699999999994,-0.8732785714285713
I2_ret_14d_>0,short,False,short_btc-,33,42.42424242424242,12.139399999999995,0.3678606060606059
I2_ret_14d_>5%,long,True,long_btc+,17,47.05882352941176,10.7862,0.6344823529411764
I2_ret_14d_>5%,long,False,long_btc-,53,39.62264150943396,0.05229999999999979,0.0009867924528301848
I2_ret_14d_>5%,short,True,short_btc+,23,26.08695652173913,-31.874699999999997,-1.3858565217391303
I2_ret_14d_>5%,short,False,short_btc-,52,40.38461538461539,7.336400000000001,0.14108461538461542
I2_ret_14d_>10%,long,True,long_btc+,9,44.44444444444444,-6.1461999999999986,-0.6829111111111109
I2_ret_14d_>10%,long,False,long_btc-,61,40.98360655737705,16.9847,0.27843770491803277
I2_ret_14d_>10%,short,True,short_btc+,16,25.0,-31.6633,-1.97895625
I2_ret_14d_>10%,short,False,short_btc-,59,38.983050847457626,7.125000000000003,0.12076271186440682
I2_ret_14d_>20%,long,True,long_btc+,3,66.66666666666666,9.852799999999998,3.284266666666666
I2_ret_14d_>20%,long,False,long_btc-,67,40.298507462686565,0.9857000000000111,0.014711940298507628
I2_ret_14d_>20%,short,True,short_btc+,5,40.0,-7.6466,-1.52932
I2_ret_14d_>20%,short,False,short_btc-,70,35.714285714285715,-16.891699999999993,-0.2413099999999999
