year_month,n,wins,net_pnl,avg_pnl
2025-04,3,2,5.1227,1.7075666666666667
2025-05,6,1,-15.4657,-2.5776166666666667
2025-06,3,1,0.26060000000000016,0.08686666666666672
2025-07,6,1,-15.6846,-2.6141
2025-08,3,3,27.1511,9.050366666666667
2025-09,1,0,-1.2682,-1.2682
2025-10,1,1,7.1627,7.1627
2025-11,2,2,18.3866,9.1933
2025-12,1,1,2.5534,2.5534
2026-01,2,2,7.9589,3.97945
2026-02,3,0,-10.4367,-3.4789
2026-03,4,3,8.5196,2.1299
2026-04,6,1,-16.767,-2.7944999999999998
2026-05,5,0,-14.738299999999999,-2.94766
