iter,eth_is_trades,eth_is_wr,eth_is_net_pnl_pct,eth_is_avg_pnl_pct,eth_oos_trades,eth_oos_wr,eth_oos_net_pnl_pct,eth_oos_avg_pnl_pct
baseline,145,38.6,-13.6995,-0.0945,46,39.1,2.7548,0.0599
014,143,31.5,-99.7269,-0.6974,38,31.6,-41.1768,-1.0836
015,146,38.4,17.3356,0.1187,49,40.8,-23.2852,-0.4752
016,160,34.4,-46.4666,-0.2904,64,34.4,-51.4605,-0.8041
017,159,37.7,-13.4871,-0.0848,53,39.6,-28.0728,-0.5297
