month,selected_window,train_sharpe,n_windows_evaluated
2022-01,125,1.4729915293207396,9
2022-02,125,1.549650023050514,9
2022-03,275,1.3661070773902417,8
2022-04,125,1.7339415855304927,9
2022-05,125,1.7757944485643626,9
2022-06,125,1.633888841928523,9
2022-07,225,1.8155588635674769,9
2022-08,225,1.8066726747819564,9
2022-09,200,1.3989115321721837,9
2022-10,200,1.5752483361955558,9
2022-11,150,1.4525285113000026,9
2022-12,200,1.1243289404472403,9
2023-01,200,1.0210373859378508,9
2023-02,125,0.5755492454223886,9
2023-03,200,0.5881973884967011,9
2023-04,125,0.5452265310725184,9
2023-05,125,0.19638697808437403,9
2023-06,125,0.48998275707114247,9
2023-07,125,0.23724708906625513,9
2023-08,125,0.2876868775460408,9
2023-09,250,-0.24109085905058458,8
2023-10,250,-0.030437473532712648,8
2023-11,125,-0.06563928887036516,9
2023-12,125,0.14110153249732632,9
2024-01,125,0.5278153278202176,9
2024-02,125,0.20850944373854138,9
2024-03,125,-0.015844786746222396,9
2024-04,250,0.492568951654571,8
2024-05,125,0.5587976789557385,9
2024-06,100,0.13469236077847388,9
2024-07,125,-0.10645420847516893,9
2024-08,125,-0.15918908543677562,9
2024-09,125,-0.09813724121745286,9
2024-10,125,-0.1687941029064141,9
2024-11,250,-0.07725971545065269,8
2024-12,225,0.2951984094965596,9
2025-01,125,0.5796305954051615,9
2025-02,200,0.5155558571294343,9
2025-03,225,0.5932001506563613,9
2025-04,200,0.7663098071642338,9
2025-05,125,0.7447805035866724,9
2025-06,175,0.7840475533013422,9
2025-07,125,0.9323498930138947,9
2025-08,125,0.8582296684504708,9
2025-09,125,0.9275924160721997,9
2025-10,125,1.0591419611837434,9
2025-11,175,1.2326397157946665,9
2025-12,125,1.1898841627359984,9
2026-01,100,1.151061735314003,9
2026-02,100,1.207626529033967,9
2026-03,175,1.3771199856596295,9
2026-04,175,0.8838633274524047,9
2026-05,175,0.9599407262163234,9
2026-06,175,1.3423490929774597,9
