check_type,symbol,feature,value,threshold,pass,note
ADF,DOTUSDT,dot_vs_btc_ret_ratio_30,0.0,0.05,1,INFORMATIONAL — p < 0.05 stationary; no BLOCK on result (rule bf2c812); ADF regression=c maxlag=10
IC_pearson,DOTUSDT,trend_adx_14,0.12461,0.3,1,ok
IC_pearson,DOTUSDT,vol_bb_bandwidth_20,0.084381,0.3,1,ok
IC_pearson,DOTUSDT,interact_natr_x_adx,0.079459,0.3,1,ok
IC_pearson,DOTUSDT,vol_range_spike_72,0.056608,0.3,1,ok
IC_pearson,DOTUSDT,oi_delta_30_z90,0.054703,0.3,1,ok
IC_pearson,DOTUSDT,mr_pct_from_high_20,0.053234,0.3,1,ok
IC_pearson,DOTUSDT,mr_pct_from_low_20,0.044614,0.3,1,ok
IC_pearson,DOTUSDT,vol_natr_14,0.042531,0.3,1,ok
IC_pearson,DOTUSDT,mom_roc_10,0.038783,0.3,1,ok
IC_pearson,DOTUSDT,stat_autocorr_lag5,0.036532,0.3,1,ok
IC_pearson,DOTUSDT,trend_aroon_osc_50,0.03399,0.3,1,ok
IC_pearson,DOTUSDT,interact_ret1_x_ret3,0.033897,0.3,1,ok
IC_pearson,DOTUSDT,vol_range_spike_24,0.032352,0.3,1,ok
IC_pearson,DOTUSDT,trend_supertrend_14_3,0.026745,0.3,1,ok
IC_pearson,DOTUSDT,trend_minus_di_14,0.025456,0.3,1,ok
IC_pearson,DOTUSDT,funding_rate_zscore_30,0.022941,0.3,1,ok
IC_pearson,DOTUSDT,regime_momentum_signed_5d,0.020638,0.3,1,ok
IC_pearson,DOTUSDT,mom_macd_hist_12_26_9,0.020349,0.3,1,ok
IC_pearson,DOTUSDT,vol_volume_pctchg_5,0.019142,0.3,1,ok
IC_pearson,DOTUSDT,stat_skew_20,0.018611,0.3,1,ok
IC_pearson,DOTUSDT,stat_kurtosis_20,0.018497,0.3,1,ok
IC_pearson,DOTUSDT,interact_rsi_x_adx,0.017624,0.3,1,ok
IC_pearson,DOTUSDT,interact_stoch_x_adx,0.01719,0.3,1,ok
IC_pearson,DOTUSDT,vol_volume_rel_20,0.016058,0.3,1,ok
IC_pearson,DOTUSDT,vol_taker_buy_ratio,0.015187,0.3,1,ok
IC_pearson,DOTUSDT,mom_willr_14,0.014858,0.3,1,ok
IC_pearson,DOTUSDT,trend_ema_cross_5_12,0.014194,0.3,1,ok
IC_pearson,DOTUSDT,vol_mfi_14,0.013014,0.3,1,ok
IC_pearson,DOTUSDT,mr_rsi_extreme_14,0.012556,0.3,1,ok
IC_pearson,DOTUSDT,trend_aroon_osc_14,0.012514,0.3,1,ok
IC_pearson,DOTUSDT,cal_hour_norm,0.012005,0.3,1,ok
IC_pearson,DOTUSDT,mom_macd_line_12_26_9,0.011039,0.3,1,ok
IC_pearson,DOTUSDT,cal_dow_norm,0.010277,0.3,1,ok
IC_pearson,DOTUSDT,mom_stoch_k_14,0.008002,0.3,1,ok
IC_pearson,DOTUSDT,interact_rsi_x_natr,0.007105,0.3,1,ok
IC_pearson,DOTUSDT,stat_log_return_1,0.004774,0.3,1,ok
IC_pearson,DOTUSDT,stat_return_5,0.003425,0.3,1,ok
IC_pearson,DOTUSDT,long_short_zscore_30,0.00313,0.3,1,ok
IC_pearson,DOTUSDT,interact_ret1_x_natr,0.00294,0.3,1,ok
IC_pearson,DOTUSDT,mom_stoch_d_14,0.002617,0.3,1,ok
IC_pearson,DOTUSDT,mom_rsi_14,0.001089,0.3,1,ok
IC_pearson,DOTUSDT,funding_rate_zscore_90,0.000854,0.3,1,ok
IC_pearson,DOTUSDT,trend_plus_di_14,0.000804,0.3,1,ok
IC_pearson,DOTUSDT,vol_atr_14,0.000765,0.3,1,ok
IC_pearson,DOTUSDT,vol_cmf_14,0.000402,0.3,1,ok
dist_stats,DOTUSDT,dot_vs_btc_ret_ratio_30,0.013016,,1,n=4906 mean=0.0130 std=1.1066 skew=-0.3908 kurt=4.6351 p05=-1.8606 p95=1.8927 min=-6.9578 max=5.8901
