metric,in_sample,out_of_sample,ratio
sharpe,0.2153,0.4130,1.9184
sortino,0.1892,0.2615,1.3826
max_drawdown,20.86%,13.68%,0.6559
win_rate,38.7%,43.8%,1.1315
profit_factor,1.0961,1.1648,1.0627
total_trades,150,64,0.4267
calmar_ratio,0.6566,0.4973,0.7573
dsr,-93.1694,-27.4819,0.2950
total_net_pnl,13.6989,6.8046,0.4967
psr_monthly_vs_0,0.701077,0.744585,1.0621
psr_monthly_vs_1,0.140673,0.321636,2.2864
psr_daily_vs_0,0.653957,0.672752,1.0287
n_effective_trials,9,9,1.0000
n_eff_per_cell_median,9,9,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
vol_ceiling_fire_rate_is,0.000000,0.000000,—
vol_ceiling_fire_rate_oos,0.000000,0.000000,—
