iter,split,raw_SR,T,n_trials,n_eff,R1_DSR_n_trials_p,R1_DSR_n_trials_PASS,R2_DSR_n_eff_p,R2_DSR_n_eff_PASS,R3_DSR_p_threshold0_p,R3_DSR_p_threshold0_PASS,R4_PSR_0_p,R4_PSR_0_PASS,R5_PSR_cpcv_median_p,R5_PSR_cpcv_median_PASS
028,IS,0.9158784114741477,182,1050,19,1.2028743746967446e-231,False,1.5438075648921843e-40,False,1.2028743746967446e-231,False,1.0,True,1.0,True
028,OOS,0.5401790334602081,96,1050,19,4.065244644558672e-178,False,1.827875236653608e-44,False,4.065244644558672e-178,False,0.9999999908988304,True,0.9816752244383905,True
039,IS,-0.13271638896763358,239,1400,19,0.0,False,2.1320330355037116e-182,False,0.0,False,0.028759766142411308,False,0.005055579474453349,False
039,OOS,1.573024183428245,125,1400,19,2.151648363918693e-84,False,0.0004255741621139264,False,2.151648363918693e-84,False,1.0,True,1.0,True
050,IS,0.869473183605246,201,1400,18,1.3013635225221653e-215,False,8.89461387738671e-36,False,1.3013635225221653e-215,False,1.0,True,1.0,True
050,OOS,1.2561467146087373,93,1400,18,5.682615400796338e-43,False,4.628472140182417e-05,False,5.682615400796338e-43,False,0.9999999999999999,True,0.9999999999999996,True
051,IS,0.6525249860902266,178,525,19,0.0,False,9.227856260468006e-85,False,0.0,False,1.0,True,0.9999996980260808,True
051,OOS,0.5507228532400639,96,525,19,1.4382245237065178e-161,False,1.6120906156392137e-46,False,1.4382245237065178e-161,False,0.9999999984114728,True,0.986834154791215,True
052,IS,0.7974862885929375,188,525,19,0.0,False,1.2467469446025696e-72,False,0.0,False,1.0,True,0.9999999999999987,True
052,OOS,1.3848918483632253,93,525,19,5.690712370398544e-49,False,8.628748839866827e-06,False,5.690712370398544e-49,False,1.0,True,1.0,True
053,IS,0.7817668077718875,180,525,19,7.220040820127115e-264,False,1.9000139884613873e-62,False,7.220040820127115e-264,False,1.0,True,0.9999999999996555,True
053,OOS,0.7397320624850457,96,525,19,1.3428953040889527e-129,False,1.3373824832381225e-32,False,1.3428953040889527e-129,False,0.9999999999999926,True,0.9999891244248937,True
054,IS,0.8796556899360514,106,525,19,5.690011575350208e-113,False,3.712225519496501e-25,False,5.690011575350208e-113,False,1.0,True,0.9999999983931646,True
