iter,n_trials,n_eff,T_IS,raw_SR_IS,skew_IS,kurt_IS,E_max_SR,sr_std_IS,dsr_z_IS,dsr_p_IS,T_OOS,raw_SR_OOS,dsr_z_OOS,dsr_p_OOS,pbo,frac_positive_paths,psr_reported
001,1000,1,225,-0.12102004464414516,1.1129057051738034,5.349877487279067,3.255121513652285,0.0716704640280546,-47.1064559729218,0.0,83,0.8992759877827063,-25.19291400860471,2.3950022426186168e-140,0.0,,1.0
002,1000,4,225,-0.12102004464414516,1.1129057051738034,5.349877487279067,3.255121513652285,0.0716704640280546,-47.1064559729218,0.0,83,0.8992759877827063,-25.19291400860471,2.3950022426186168e-140,,0.6,1.0
003,1000,1,225,-0.12102004464414516,1.1129057051738034,5.349877487279067,3.255121513652285,0.0716704640280546,-47.1064559729218,0.0,83,0.8992759877827063,-25.19291400860471,2.3950022426186168e-140,0.0,0.5738,1.0
004,1000,25,225,-0.12102004464414516,1.1129057051738034,5.349877487279067,3.255121513652285,0.0716704640280546,-47.1064559729218,0.0,83,0.8992759877827063,-25.19291400860471,2.3950022426186168e-140,0.1305248554913295,,1.0
005,1000,25,225,-0.12102004464414516,1.1129057051738034,5.349877487279067,3.255121513652285,0.0716704640280546,-47.1064559729218,0.0,83,0.8992759877827063,-25.19291400860471,2.3950022426186168e-140,0.016298265895953755,,1.0
006,100,7,79,0.857346900564261,0.8063257429203496,3.2199594710578223,2.5306028932011424,0.09585251315636746,-17.456568821594086,1.5341541487347764e-68,35,-0.0010957191369747807,-14.758432983002159,1.3575813952476655e-49,0.16644905660377357,0.5333,0.4974
007,40,7,274,0.4161526336952831,1.0299475109709928,4.503361317357327,2.1894802275365657,0.051464461909663715,-34.45732313210675,1.7490362228557923e-260,90,0.0846064741531428,-20.224409726936482,2.985031168451059e-91,0.14188670520231214,0.6,0.7932
009,40,7,267,0.14745750254021842,1.159007390952137,5.294084766435506,2.1894802275365657,0.056609664800944176,-36.07198050327069,3.119400380901658e-285,87,1.1527047717315189,-10.422063086336061,9.832033571283352e-26,0.11452947976878614,0.6,1.0
010,40,7,357,0.8964742705835296,0.8830401590628217,3.790347817465751,2.1894802275365657,0.04647713636785911,-27.820258690619415,1.2337743968347674e-170,109,1.6294606695358842,-6.132095321765971,4.3364554548313056e-10,0.10769710982658959,0.6,1.0
011,40,7,286,1.3702277961861415,0.8768623813087233,3.5726580193469752,2.1894802275365657,0.05941397209286297,-13.78888504660061,1.486597830041396e-43,101,1.3569709131677514,-9.265108790188311,9.743928091654818e-21,0.10769710982658959,0.6,1.0
