iter,split,n_trials,n_eff,T,raw_SR,skew,kurt,cpcv_median_path_sharpe,R1_DSR_n_trials,R1_em,R2_DSR_n_eff,R2_em,R3_DSR_p_threshold0,R4_PSR_0,R5_PSR_cpcv_median
028,IS,1050,19,182,0.9158784114741477,0.8578351054780918,4.509485889749099,0.335091,1.2028743746967446e-231,3.268970703722646,1.5438075648921843e-40,1.8780159083667756,1.2028743746967446e-231,1.0,1.0
028,OOS,1050,19,96,0.5401790334602081,0.5259634679929739,3.1823192668715805,0.335091,4.065244644558672e-178,3.268970703722646,1.827875236653608e-44,1.8780159083667756,4.065244644558672e-178,0.9999999908988304,0.9816752244383905
039,IS,1400,19,239,-0.13271638896763358,1.0872490235699808,5.028854307257308,0.052644,0.0,3.349611997994273,2.1320330355037116e-182,1.8780159083667756,0.0,0.028759766142411308,0.005055579474453349
039,OOS,1400,19,125,1.573024183428245,0.595419338724488,2.5733881012328625,0.052644,2.151648363918693e-84,3.349611997994273,0.0004255741621139264,1.8780159083667756,2.151648363918693e-84,1.0,1.0
050,IS,1400,18,201,0.869473183605246,0.6715117541359888,5.434432482510663,0.052644,1.3013635225221653e-215,3.349611997994273,8.89461387738671e-36,1.8538732029929548,1.3013635225221653e-215,1.0,1.0
050,OOS,1400,18,93,1.2561467146087373,-0.10962709552136977,3.568171329390277,0.052644,5.682615400796338e-43,3.349611997994273,4.628472140182417e-05,1.8538732029929548,5.682615400796338e-43,0.9999999999999999,0.9999999999999996
051,IS,525,19,178,0.6525249860902266,1.3063434562878489,6.198893504404325,0.335091,0.0,3.0671648056243432,9.227856260468006e-85,1.8780159083667756,0.0,1.0,0.9999996980260808
051,OOS,525,19,96,0.5507228532400639,0.5899063685772113,2.9309404506259225,0.335091,1.4382245237065178e-161,3.0671648056243432,1.6120906156392137e-46,1.8780159083667756,1.4382245237065178e-161,0.9999999984114728,0.986834154791215
052,IS,525,19,188,0.7974862885929375,1.2933067540541776,5.44212023302345,0.335091,0.0,3.0671648056243432,1.2467469446025696e-72,1.8780159083667756,0.0,1.0,0.9999999999999987
052,OOS,525,19,93,1.3848918483632253,0.40643771275434365,2.614458786877449,0.335091,5.690712370398544e-49,3.0671648056243432,8.628748839866827e-06,1.8780159083667756,5.690712370398544e-49,1.0,1.0
053,IS,525,19,180,0.7817668077718875,1.2264512070601359,5.817323434639936,0.335091,7.220040820127115e-264,3.0671648056243432,1.9000139884613873e-62,1.8780159083667756,7.220040820127115e-264,1.0,0.9999999999996555
053,OOS,525,19,96,0.7397320624850457,0.55175813023018,3.1010901016649637,0.335091,1.3428953040889527e-129,3.0671648056243432,1.3373824832381225e-32,1.8780159083667756,1.3428953040889527e-129,0.9999999999999926,0.9999891244248937
054,IS,525,19,106,0.8796556899360514,0.5148544718108227,3.2762737222794938,0.335091,5.690011575350208e-113,3.0671648056243432,3.712225519496501e-25,1.8780159083667756,5.690011575350208e-113,1.0,0.9999999983931646
