regime,n_trials,E_max_SR,T_trades,sr_std_gaussian,SR_required_for_DSR_p95,z95_correction
EXPLORATION /051..054,525,3.0671648056243432,80,0.1125087900926024,3.252225297072082,0.18506049144773892
EXPLORATION /051..054,525,3.0671648056243432,100,0.10050378152592121,3.232478815189593,0.16531400956524986
EXPLORATION /051..054,525,3.0671648056243432,130,0.08804509063256238,3.2119860922865846,0.14482128666224134
EXPLORATION /051..054,525,3.0671648056243432,160,0.07930515857181442,3.197610183337154,0.1304453777128106
EXPLORATION /051..054,525,3.0671648056243432,200,0.0708881205008336,3.183765387737912,0.11660058211356915
EXPLORATION /051..054,525,3.0671648056243432,250,0.06337242505244779,3.1714031688205724,0.10423836319622909
EXPLORATION /051..054,525,3.0671648056243432,300,0.05783149319662402,3.1622891469608296,0.09512434133648641
EXPLORATION /029-/038,140,2.6467985023510274,80,0.1125087900926024,2.8318589937987664,0.18506049144773892
EXPLORATION /029-/038,140,2.6467985023510274,100,0.10050378152592121,2.8121125119162773,0.16531400956524986
EXPLORATION /029-/038,140,2.6467985023510274,130,0.08804509063256238,2.791619789013269,0.14482128666224134
EXPLORATION /029-/038,140,2.6467985023510274,160,0.07930515857181442,2.777243880063838,0.1304453777128106
EXPLORATION /029-/038,140,2.6467985023510274,200,0.0708881205008336,2.7633990844645964,0.11660058211356915
EXPLORATION /029-/038,140,2.6467985023510274,250,0.06337242505244779,2.7510368655472566,0.10423836319622909
EXPLORATION /029-/038,140,2.6467985023510274,300,0.05783149319662402,2.741922843687514,0.09512434133648641
CONFIRMATION /028,1050,3.268970703722646,80,0.1125087900926024,3.454031195170385,0.18506049144773892
CONFIRMATION /028,1050,3.268970703722646,100,0.10050378152592121,3.4342847132878958,0.16531400956524986
CONFIRMATION /028,1050,3.268970703722646,130,0.08804509063256238,3.4137919903848872,0.14482128666224134
CONFIRMATION /028,1050,3.268970703722646,160,0.07930515857181442,3.3994160814354566,0.1304453777128106
CONFIRMATION /028,1050,3.268970703722646,200,0.0708881205008336,3.385571285836215,0.11660058211356915
CONFIRMATION /028,1050,3.268970703722646,250,0.06337242505244779,3.373209066918875,0.10423836319622909
CONFIRMATION /028,1050,3.268970703722646,300,0.05783149319662402,3.3640950450591323,0.09512434133648641
CONFIRMATION /039,1400,3.349611997994273,80,0.1125087900926024,3.534672489442012,0.18506049144773892
CONFIRMATION /039,1400,3.349611997994273,100,0.10050378152592121,3.514926007559523,0.16531400956524986
CONFIRMATION /039,1400,3.349611997994273,130,0.08804509063256238,3.4944332846565143,0.14482128666224134
CONFIRMATION /039,1400,3.349611997994273,160,0.07930515857181442,3.4800573757070836,0.1304453777128106
CONFIRMATION /039,1400,3.349611997994273,200,0.0708881205008336,3.466212580107842,0.11660058211356915
CONFIRMATION /039,1400,3.349611997994273,250,0.06337242505244779,3.453850361190502,0.10423836319622909
CONFIRMATION /039,1400,3.349611997994273,300,0.05783149319662402,3.4447363393307593,0.09512434133648641
CONFIRMATION /050,1400,3.349611997994273,80,0.1125087900926024,3.534672489442012,0.18506049144773892
CONFIRMATION /050,1400,3.349611997994273,100,0.10050378152592121,3.514926007559523,0.16531400956524986
CONFIRMATION /050,1400,3.349611997994273,130,0.08804509063256238,3.4944332846565143,0.14482128666224134
CONFIRMATION /050,1400,3.349611997994273,160,0.07930515857181442,3.4800573757070836,0.1304453777128106
CONFIRMATION /050,1400,3.349611997994273,200,0.0708881205008336,3.466212580107842,0.11660058211356915
CONFIRMATION /050,1400,3.349611997994273,250,0.06337242505244779,3.453850361190502,0.10423836319622909
CONFIRMATION /050,1400,3.349611997994273,300,0.05783149319662402,3.4447363393307593,0.09512434133648641
hypothetical n=100,100,2.5306028932011424,80,0.1125087900926024,2.7156633846488814,0.18506049144773892
hypothetical n=100,100,2.5306028932011424,100,0.10050378152592121,2.6959169027663923,0.16531400956524986
hypothetical n=100,100,2.5306028932011424,130,0.08804509063256238,2.6754241798633838,0.14482128666224134
hypothetical n=100,100,2.5306028932011424,160,0.07930515857181442,2.661048270913953,0.1304453777128106
hypothetical n=100,100,2.5306028932011424,200,0.0708881205008336,2.6472034753147113,0.11660058211356915
hypothetical n=100,100,2.5306028932011424,250,0.06337242505244779,2.6348412563973715,0.10423836319622909
hypothetical n=100,100,2.5306028932011424,300,0.05783149319662402,2.625727234537629,0.09512434133648641
hypothetical n=50,50,2.276303093419757,80,0.1125087900926024,2.4613635848674957,0.18506049144773892
hypothetical n=50,50,2.276303093419757,100,0.10050378152592121,2.4416171029850067,0.16531400956524986
hypothetical n=50,50,2.276303093419757,130,0.08804509063256238,2.421124380081998,0.14482128666224134
hypothetical n=50,50,2.276303093419757,160,0.07930515857181442,2.4067484711325675,0.1304453777128106
hypothetical n=50,50,2.276303093419757,200,0.0708881205008336,2.3929036755333257,0.11660058211356915
hypothetical n=50,50,2.276303093419757,250,0.06337242505244779,2.380541456615986,0.10423836319622909
hypothetical n=50,50,2.276303093419757,300,0.05783149319662402,2.371427434756243,0.09512434133648641
hypothetical n=20,20,1.9007079511805194,80,0.1125087900926024,2.0857684426282583,0.18506049144773892
hypothetical n=20,20,1.9007079511805194,100,0.10050378152592121,2.0660219607457693,0.16531400956524986
hypothetical n=20,20,1.9007079511805194,130,0.08804509063256238,2.0455292378427608,0.14482128666224134
hypothetical n=20,20,1.9007079511805194,160,0.07930515857181442,2.03115332889333,0.1304453777128106
hypothetical n=20,20,1.9007079511805194,200,0.0708881205008336,2.0173085332940883,0.11660058211356915
hypothetical n=20,20,1.9007079511805194,250,0.06337242505244779,2.0049463143767485,0.10423836319622909
hypothetical n=20,20,1.9007079511805194,300,0.05783149319662402,1.9958322925170058,0.09512434133648641
