symbol,fold_month,expert_regime,n_train_regime,auc_own_regime,auc_other_regime,auc_gap
BCHUSDT,202408,trending,2457,0.7727,0.7923,-0.0195
BCHUSDT,202408,mean_rev,2465,0.5768,0.9965,-0.4197
BCHUSDT,202409,trending,2494,0.5114,0.5641,-0.0527
BCHUSDT,202409,mean_rev,2521,0.3205,0.5586,-0.2381
BCHUSDT,202410,trending,2549,0.7143,0.7978,-0.0835
BCHUSDT,202410,mean_rev,2556,0.8915,0.8788,0.0128
BCHUSDT,202411,trending,2592,0.3279,0.5083,-0.1805
BCHUSDT,202411,mean_rev,2606,0.75,0.6831,0.0669
BCHUSDT,202412,trending,2659,0.4328,0.2609,0.1719
BCHUSDT,202412,mean_rev,2629,0.6522,0.375,0.2772
BCHUSDT,202501,trending,2711,0.9167,0.6569,0.2598
BCHUSDT,202501,mean_rev,2670,0.5496,0.7083,-0.1587
BCHUSDT,202502,trending,2721,0.2763,0.4767,-0.2004
BCHUSDT,202502,mean_rev,2753,0.5,0.7118,-0.2118
BCHUSDT,202503,trending,2760,0.8667,0.5712,0.2955
BCHUSDT,202503,mean_rev,2798,0.5121,0.2,0.3121
LDOUSDT,202408,trending,933,0.7487,0.8672,-0.1185
LDOUSDT,202408,mean_rev,1003,0.3408,0.3282,0.0126
LDOUSDT,202409,trending,976,0.5764,0.851,-0.2747
LDOUSDT,202409,mean_rev,1053,0.6288,0.3908,0.238
LDOUSDT,202410,trending,1026,0.5338,0.4891,0.0447
LDOUSDT,202410,mean_rev,1093,0.6255,0.5524,0.073
LDOUSDT,202411,trending,1072,0.4236,0.366,0.0576
LDOUSDT,202411,mean_rev,1140,0.2586,0.6933,-0.4347
LDOUSDT,202412,trending,1120,0.6919,0.125,0.5669
LDOUSDT,202412,mean_rev,1182,0.0833,0.3928,-0.3095
LDOUSDT,202501,trending,1187,0.7009,0.8226,-0.1218
LDOUSDT,202501,mean_rev,1208,0.8,0.7821,0.0179
TRXUSDT,202409,trending,2485,0.5667,0.7859,-0.2192
TRXUSDT,202409,mean_rev,2472,0.4145,0.7667,-0.3522
TRXUSDT,202410,trending,2504,0.2983,0.3044,-0.0061
TRXUSDT,202410,mean_rev,2543,0.5287,0.5341,-0.0054
TRXUSDT,202411,trending,2534,0.5063,0.8558,-0.3495
TRXUSDT,202411,mean_rev,2606,0.25,0.5379,-0.2879
TRXUSDT,202412,trending,2603,0.8,0.094,0.706
TRXUSDT,202412,mean_rev,2627,0.9944,0.7457,0.2487
TRXUSDT,202501,trending,2642,0.5921,0.4,0.1921
TRXUSDT,202501,mean_rev,2681,0.975,0.8138,0.1612
TRXUSDT,202502,trending,2706,1.0,0.2906,0.7094
TRXUSDT,202502,mean_rev,2710,0.3506,0.6667,-0.3161
TRXUSDT,202503,trending,2731,0.6761,0.5981,0.078
TRXUSDT,202503,mean_rev,2769,0.4278,0.7065,-0.2787
