symbol,fold_month,n_test,pool_acc,mix_acc,acc_lift,pool_pnl,mix_pnl,pnl_lift
BCHUSDT,202408,93,0.5806,0.6237,0.043,1.9811,2.0092,0.0282
BCHUSDT,202409,90,0.6889,0.5,-0.1889,0.8284,0.0054,-0.823
BCHUSDT,202410,93,0.7419,0.5591,-0.1828,0.4384,-0.3476,-0.7859
BCHUSDT,202411,90,0.3889,0.5222,0.1333,-0.4068,0.6061,1.013
BCHUSDT,202412,93,0.5269,0.5699,0.043,0.703,1.1584,0.4555
BCHUSDT,202501,93,0.5269,0.5376,0.0108,-0.4848,-0.4375,0.0473
BCHUSDT,202502,84,0.4048,0.4881,0.0833,-0.5528,-0.7189,-0.1661
BCHUSDT,202503,69,0.4783,0.6522,0.1739,-1.4908,0.0241,1.5149
LDOUSDT,202408,93,0.6237,0.4409,-0.1828,0.8737,-1.2865,-2.1603
LDOUSDT,202409,90,0.4,0.5778,0.1778,-1.3248,0.4891,1.8139
LDOUSDT,202410,93,0.5269,0.4409,-0.086,0.1532,-0.4772,-0.6304
LDOUSDT,202411,90,0.4556,0.3222,-0.1333,-1.7099,-3.1711,-1.4612
LDOUSDT,202412,93,0.4946,0.4194,-0.0753,0.0078,-1.2618,-1.2696
LDOUSDT,202501,93,0.6129,0.7312,0.1183,1.4345,2.901,1.4665
LDOUSDT,202502,84,0.5,0.4881,-0.0119,0.6711,-0.561,-1.2321
LDOUSDT,202503,69,0.3623,0.4058,0.0435,-1.87,-1.4298,0.4402
TRXUSDT,202408,93,0.3548,0.4516,0.0968,0.0249,0.3635,0.3386
TRXUSDT,202409,90,0.4444,0.5111,0.0667,-0.2968,-0.097,0.1998
TRXUSDT,202410,93,0.5806,0.5376,-0.043,0.2348,0.1177,-0.1172
TRXUSDT,202411,90,0.4889,0.4778,-0.0111,0.4945,0.6987,0.2042
TRXUSDT,202412,93,0.8602,0.8495,-0.0108,4.4097,4.6148,0.2051
TRXUSDT,202501,93,0.3656,0.4839,0.1183,-0.4719,0.5646,1.0365
TRXUSDT,202502,84,0.5,0.4524,-0.0476,0.3782,0.2111,-0.1672
TRXUSDT,202503,69,0.3913,0.4203,0.029,-0.6956,-1.0181,-0.3225
