symbol,z_dist_BCH,z_dist_LDO,z_dist_TRX,mean_z_dist
ATOMUSDT,0.4746,0.867,0.9123,0.7513
FILUSDT,0.4505,0.6576,1.1695,0.7592
ALGOUSDT,0.6002,0.5916,1.3332,0.8416
ADAUSDT,0.263,0.6306,1.0634,0.6524
VETUSDT,0.6236,0.7066,1.2685,0.8662
