symbol,log_return_8h_z,ret_5d_z,vol_50bar_z,skew_50bar_z,kurt_50bar_z,autocorr_lag1_50_z
BCHUSDT,0.0163,0.064,0.0232,0.1617,0.1968,0.134
LDOUSDT,-0.0155,-0.0621,0.6357,0.0948,-0.1067,0.1296
TRXUSDT,0.0224,0.0881,-0.9388,-0.0047,0.236,0.3135
ATOMUSDT,-0.017,-0.0654,-0.1531,-0.193,0.041,-0.0278
FILUSDT,-0.0123,-0.0495,0.1313,-0.1943,0.1197,-0.0777
ALGOUSDT,-0.0025,-0.0107,0.1988,-0.0545,-0.1848,-0.2281
ADAUSDT,0.0088,0.0349,0.0311,0.1488,-0.0338,0.0119
VETUSDT,-0.0002,0.0007,0.0718,0.0412,-0.268,-0.2554
