series,full_ic,frac_same_sign_pos,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30
ic_vol_size,0.0792,0.364,0.3608,0.1425,0.0899,0.0435,-0.1422,-0.0089,-0.1198,-0.0701,-0.2929,-0.1416,-0.4208
ic_vol_select,0.1368,0.545,-0.126,0.5842,0.243,0.1956,-0.1849,0.1322,0.0781,0.5144,-0.0737,-0.2108,-0.4536
ic_str_select,0.0942,0.636,-0.1768,0.4148,-0.1418,-0.0744,0.0648,-0.2075,0.0226,0.3062,0.0894,0.1769,0.046
ic_str_size,-0.0592,0.273,-0.0537,0.2915,-0.3824,-0.4502,-0.0452,-0.1621,-0.1371,-0.1297,0.1196,0.0409,-0.1631
