subset,full,frac_pos,recent3,trades,wr,mret_pct,sharpe_2020-01-01,sharpe_2020-07-01,sharpe_2020-12-31,sharpe_2021-07-01,sharpe_2021-12-31,sharpe_2022-07-01,sharpe_2022-12-31,sharpe_2023-07-01,sharpe_2023-12-31,sharpe_2024-06-30,sharpe_2024-12-30
only_A (strength only),0.6324,0.6,3.443,1626.0,0.5018,1.487,,1.751,-6.231,-0.649,2.499,-3.065,-1.058,1.826,1.712,2.396,6.222
only_B (magnitude only),0.0871,0.4,-2.175,813.0,0.4674,0.2395,,0.513,1.467,-0.198,-1.858,0.35,-0.453,46.128,-3.261,-2.484,-0.781
both (A & B),1.5323,0.8,0.881,1129.0,0.6129,3.683,,6.103,1.305,4.007,-0.197,-8.223,0.759,4.156,0.669,0.048,1.926
jaccard_magnitude_selector,0.8168,,,,,,,,,,,,,,,,
jaccard_direction_selector,0.8443,,,,,,,,,,,,,,,,
