book,full,frac_pos,dispersion,worst,recent1,recent2,recent3,n_pos,n_scored,n_trades,win_rate,mean_ret_pct,sharpe_2020-01-01,sharpe_2020-07-01,sharpe_2020-12-31,sharpe_2021-07-01,sharpe_2021-12-31,sharpe_2022-07-01,sharpe_2022-12-31,sharpe_2023-07-01,sharpe_2023-12-31,sharpe_2024-06-30,sharpe_2024-12-30
A_strength_gate_q40 (iter-020 incumbent),1.0021,0.7,2.1783,-3.8699,3.185,2.196,1.864,7,10,2755,0.5474,2.387,,3.81,0.81,-0.224,1.595,-3.87,-0.757,2.157,1.202,1.207,3.185
ALL_trend_state (no gate),0.3165,0.636,1.3471,-2.5551,1.45,0.752,0.613,7,11,5485,0.4941,0.776,-1.265,1.979,1.042,-0.351,1.431,-2.555,-0.701,0.75,0.334,0.054,1.45
B_magnitude_gate_q40,0.722,0.5,2.353,-2.4827,-0.793,-0.837,-0.734,5,10,2504,0.5387,1.8268,,5.276,1.136,0.481,0.027,-2.483,-0.559,3.931,-0.53,-0.88,-0.793
B_magnitude_gate_q50,0.8706,0.5,2.3369,-2.5454,-0.492,-0.644,-0.625,5,10,1942,0.552,2.2414,,4.861,1.307,0.603,-0.734,-2.545,0.192,4.357,-0.588,-0.796,-0.492
B_magnitude_gate_q60,1.406,0.5,2.6633,-1.5466,-0.297,-0.261,-0.549,5,10,1430,0.5888,3.5121,,4.57,2.176,0.708,-1.547,-0.23,2.772,6.656,-1.124,-0.224,-0.297
B_magnitude_q50_SIZED_by_mag,0.9927,0.5,2.3188,-2.3242,-0.364,-0.571,-0.575,5,10,1942,0.552,2.1071,,4.675,1.476,0.68,-0.785,-2.324,0.479,4.653,-0.582,-0.779,-0.364
A_AND_B (strength & magnitude),1.5323,0.8,3.8519,-8.2232,1.926,0.987,0.881,8,10,1129,0.6129,3.683,,6.103,1.305,4.007,-0.197,-8.223,0.759,4.156,0.669,0.048,1.926
A_OR_B (strength | magnitude),0.7664,0.6,1.7075,-2.8194,-0.181,0.117,0.207,6,10,3568,0.5291,1.8976,,3.464,1.058,-0.215,1.141,-2.819,-0.713,2.303,0.387,0.414,-0.181
